,season,player_name,height (in),height (cm),pts,reb,ast,college,country,team
9292,2016-17,John Jenkins,76.0,193.04,1.8,0.3,0.3,Vanderbilt,USA,PHX
10189,2018-19,John Jenkins,76.0,193.04,4.7,1.4,0.8,Vanderbilt,USA,NYK
9293,2016-17,John Lucas III,71.0,180.34,0.4,0.0,0.2,Oklahoma State,USA,MIN
10190,2018-19,John Wall,76.0,193.04,20.7,3.6,8.7,Kentucky,USA,WAS
9964,2017-18,John Wall,76.0,193.04,19.4,3.7,9.6,Kentucky,USA,WAS
9294,2016-17,John Wall,76.0,193.04,23.1,4.2,10.7,Kentucky,USA,WAS
10191,2018-19,Johnathan Motley,82.0,208.28,4.6,2.3,0.5,Baylor,USA,LAC
9963,2017-18,Johnathan Motley,82.0,208.28,8.7,4.5,0.6,Baylor,USA,DAL
10193,2018-19,Johnathan Williams,81.0,205.74,6.5,4.1,0.5,Gonzaga,USA,LAL
9280,2016-17,Johnny O'Bryant III,81.0,205.74,3.5,1.7,0.5,Louisiana State,USA,CHA
9962,2017-18,Johnny O'Bryant III,81.0,205.74,4.8,2.6,0.4,Louisiana State,USA,CHA
9279,2016-17,Jon Leuer,82.0,208.28,10.2,5.4,1.5,Wisconsin,USA,DET
10263,2018-19,Jon Leuer,82.0,208.28,3.8,2.4,0.3,Wisconsin,USA,DET
9961,2017-18,Jon Leuer,82.0,208.28,5.4,4.0,0.6,Wisconsin,USA,DET
10359,2018-19,Jonah Bolden,82.0,208.28,4.7,3.8,0.9,None,Australia,PHI
9278,2016-17,Jonas Jerebko,82.0,208.28,3.8,3.5,0.9,None,Sweden,BOS
10490,2018-19,Jonas Jerebko,82.0,208.28,6.3,3.9,1.3,None,Sweden,GSW
9960,2017-18,Jonas Jerebko,82.0,208.28,5.8,3.3,0.6,None,Sweden,UTA
9277,2016-17,Jonas Valanciunas,84.0,213.36,12.0,9.5,0.7,None,Lithuania,TOR
10361,2018-19,Jonas Valanciunas,84.0,213.36,15.6,8.6,1.4,None,Lithuania,MEM
9959,2017-18,Jonas Valanciunas,84.0,213.36,12.7,8.6,1.1,None,Lithuania,TOR
9276,2016-17,Jonathan Gibson,74.0,187.96,6.2,1.3,1.5,New Mexico State,USA,DAL
9967,2017-18,Jonathan Gibson,74.0,187.96,8.5,0.8,1.0,New Mexico State,USA,BOS
9958,2017-18,Jonathan Isaac,82.0,208.28,5.4,3.7,0.7,Florida State,USA,ORL
10525,2018-19,Jonathan Isaac,82.0,208.28,9.6,5.5,1.1,Florida State,USA,ORL
9275,2016-17,Jonathon Simmons,78.0,198.12,6.2,2.1,1.6,Houston,USA,SAS
10526,2018-19,Jonathon Simmons,78.0,198.12,6.5,2.3,2.3,Houston,USA,PHI
9956,2017-18,Jonathon Simmons,78.0,198.12,13.9,3.5,2.5,Houston,USA,ORL
9955,2017-18,Jordan Bell,81.0,205.74,4.6,3.6,1.8,Oregon,USA,GSW
10527,2018-19,Jordan Bell,81.0,205.74,3.3,2.7,1.1,Oregon,USA,GSW
9954,2017-18,Jordan Clarkson,77.0,195.58,13.9,2.7,2.7,Missouri,USA,CLE
9274,2016-17,Jordan Clarkson,77.0,195.58,14.7,3.0,2.6,Missouri,USA,LAL
10528,2018-19,Jordan Clarkson,77.0,195.58,16.8,3.3,2.4,Missouri,USA,CLE
9953,2017-18,Jordan Crawford,77.0,195.58,6.6,0.8,2.6,Xavier,USA,NOP
9273,2016-17,Jordan Crawford,77.0,195.58,14.1,1.8,3.0,Xavier,USA,NOP
9272,2016-17,Jordan Farmar,74.0,187.96,6.0,1.5,4.5,UCLA,USA,SAC
9271,2016-17,Jordan Hill,82.0,208.28,1.7,2.0,0.0,Arizona,USA,MIN
10529,2018-19,Jordan Loyd,76.0,193.04,2.4,0.8,0.5,None,USA,TOR
9270,2016-17,Jordan McRae,77.0,195.58,4.4,1.1,0.5,Tennessee,USA,CLE
10530,2018-19,Jordan McRae,77.0,195.58,5.9,1.5,1.1,Tennessee,USA,WAS
9952,2017-18,Jordan Mickey,80.0,203.2,4.0,3.5,0.4,Louisiana State,USA,MIA
9269,2016-17,Jordan Mickey,80.0,203.2,1.5,1.4,0.3,Louisiana State,USA,BOS
10531,2018-19,Jordan Sibert,76.0,193.04,3.0,0.0,0.0,University of Dayton,USA,ATL
10532,2018-19,Jose Calderon,75.0,190.5,2.3,1.2,2.3,None,Spain,DET
9951,2017-18,Jose Calderon,75.0,190.5,4.5,1.5,2.1,None,Spain,CLE
9268,2016-17,Jose Calderon,75.0,190.5,3.4,1.8,2.1,None,Spain,ATL
9950,2017-18,Josh Gray,73.0,185.42,6.4,2.0,2.4,None,USA,PHX
9949,2017-18,Josh Hart,77.0,195.58,7.9,4.2,1.3,Villanova,USA,LAL
10533,2018-19,Josh Hart,77.0,195.58,7.8,3.7,1.4,Villanova,USA,LAL
9267,2016-17,Josh Huestis,79.0,200.66,7.0,4.5,1.5,Stanford,USA,OKC
9968,2017-18,Josh Huestis,79.0,200.66,2.3,2.3,0.3,Stanford,USA,OKC
10534,2018-19,Josh Jackson,80.0,203.2,11.5,4.4,2.3,Kansas,USA,PHX
10012,2017-18,Josh Jackson,80.0,203.2,13.1,4.6,1.5,Kansas,USA,PHX
10039,2017-18,Josh Magette,73.0,185.42,2.6,1.1,3.2,Alabama Huntsville,USA,ATL
10014,2017-18,Josh McRoberts,82.0,208.28,0.0,0.0,0.0,Duke,USA,DAL
9266,2016-17,Josh McRoberts,82.0,208.28,4.9,3.4,2.3,Duke,USA,MIA
10535,2018-19,Josh Okogie,76.0,193.04,7.7,2.9,1.2,Georgia Institute of Technology,Nigeria,MIN
10076,2017-18,Josh Richardson,78.0,198.12,12.9,3.5,2.9,Tennessee,USA,MIA
10536,2018-19,Josh Richardson,78.0,198.12,16.6,3.6,4.1,Tennessee,USA,MIA
9265,2016-17,Josh Richardson,78.0,198.12,10.2,3.2,2.6,Tennessee,USA,MIA
10077,2017-18,Josh Smith,81.0,205.74,0.7,1.3,0.0,None,USA,NOP
9264,2016-17,Jrue Holiday,76.0,193.04,15.4,3.9,7.3,UCLA,USA,NOP
10537,2018-19,Jrue Holiday,76.0,193.04,21.2,5.0,7.7,UCLA,USA,NOP
10078,2017-18,Jrue Holiday,76.0,193.04,19.0,4.5,6.0,UCLA,USA,NOP
9229,2016-17,Juancho Hernangomez,81.0,205.74,4.9,3.0,0.5,None,Spain,DEN
10538,2018-19,Juancho Hernangomez,81.0,205.74,5.8,3.8,0.8,None,Spain,DEN
10074,2017-18,Juancho Hernangomez,81.0,205.74,3.3,2.2,0.5,None,Spain,DEN
10539,2018-19,Julian Washburn,80.0,203.2,2.2,2.3,0.8,Texas-El Paso,USA,MEM
9228,2016-17,Julius Randle,81.0,205.74,13.2,8.6,3.6,Kentucky,USA,LAL
10540,2018-19,Julius Randle,81.0,205.74,21.4,8.7,3.1,Kentucky,USA,NOP
10073,2017-18,Julius Randle,81.0,205.74,16.1,8.0,2.6,Kentucky,USA,LAL
10072,2017-18,Julyan Stone,78.0,198.12,0.8,1.3,1.1,Texas-El Paso,USA,CHA
9227,2016-17,Justin Anderson,78.0,198.12,7.1,3.3,0.9,Virginia,USA,PHI
10541,2018-19,Justin Anderson,78.0,198.12,3.7,1.8,0.5,Virginia,USA,ATL
10071,2017-18,Justin Anderson,78.0,198.12,6.2,2.4,0.7,Virginia,USA,PHI
9193,2016-17,Justin Hamilton,84.0,213.36,6.9,4.1,0.9,Louisiana State,USA,BKN
9191,2016-17,Justin Harper,82.0,208.28,4.0,1.7,0.7,Richmond,USA,PHI
10070,2017-18,Justin Holiday,78.0,198.12,12.2,4.0,2.1,Washington,USA,CHI
10542,2018-19,Justin Holiday,78.0,198.12,10.5,3.9,1.8,Washington,USA,MEM
9190,2016-17,Justin Holiday,78.0,198.12,7.7,2.7,1.2,Washington,USA,NYK
10081,2017-18,Justin Jackson,80.0,203.2,6.7,2.8,1.1,North Carolina,USA,SAC
10543,2018-19,Justin Jackson,80.0,203.2,7.2,2.6,1.2,North Carolina,USA,DAL
10069,2017-18,Justin Patton,84.0,213.36,2.0,0.0,0.0,Creighton,USA,MIN
10544,2018-19,Justin Patton,84.0,213.36,1.7,2.0,1.0,Creighton,USA,PHI
10068,2017-18,Justise Winslow,79.0,200.66,7.8,5.4,2.2,Duke,USA,MIA
9189,2016-17,Justise Winslow,79.0,200.66,10.9,5.2,3.7,Duke,USA,MIA
10545,2018-19,Justise Winslow,79.0,200.66,12.6,5.4,4.3,Duke,USA,MIA
9188,2016-17,Jusuf Nurkic,84.0,213.36,10.2,7.2,1.9,None,Bosnia & Herzegovina,POR
10067,2017-18,Jusuf Nurkic,84.0,213.36,14.3,9.0,1.8,None,Bosnia and Herzegovina,POR
10546,2018-19,Jusuf Nurkic,84.0,213.36,15.6,10.4,3.2,None,Bosnia and Herzegovina,POR
9187,2016-17,KJ McDaniels,78.0,198.12,4.2,1.7,0.3,Clemson,USA,BKN
10066,2017-18,Kadeem Allen,75.0,190.5,1.1,0.6,0.7,Arizona,USA,BOS
10547,2018-19,Kadeem Allen,75.0,190.5,9.9,2.7,4.0,Arizona,USA,NYK
10548,2018-19,Kalin Lucas,73.0,185.42,2.0,3.0,1.0,Michigan State,USA,DET
10065,2017-18,Karl-Anthony Towns,84.0,213.36,21.3,12.3,2.4,Kentucky,USA,MIN
9186,2016-17,Karl-Anthony Towns,84.0,213.36,25.1,12.3,2.7,Kentucky,USA,MIN
10549,2018-19,Karl-Anthony Towns,84.0,213.36,24.4,12.4,3.4,Kentucky,USA,MIN
10550,2018-19,Kawhi Leonard,79.0,200.66,26.6,7.3,3.3,San Diego State,USA,TOR
9185,2016-17,Kawhi Leonard,79.0,200.66,25.5,5.8,3.5,San Diego State,USA,SAS
10064,2017-18,Kawhi Leonard,79.0,200.66,16.2,4.7,2.3,San Diego State,USA,SAS
9184,2016-17,Kay Felder,69.0,175.26,4.0,1.0,1.4,None,USA,CLE
10063,2017-18,Kay Felder,69.0,175.26,3.6,1.1,1.3,None,USA,DET
10551,2018-19,Keita Bates-Diop,81.0,205.74,5.0,2.8,0.6,Ohio State,USA,MIN
9183,2016-17,Kelly Olynyk,84.0,213.36,9.0,4.8,2.0,Gonzaga,Canada,BOS
10552,2018-19,Kelly Olynyk,84.0,213.36,10.0,4.7,1.8,Gonzaga,Canada,MIA
10062,2017-18,Kelly Olynyk,84.0,213.36,11.5,5.7,2.7,Gonzaga,Canada,MIA
9182,2016-17,Kelly Oubre Jr.,79.0,200.66,6.3,3.3,0.6,Kansas,USA,WAS
10553,2018-19,Kelly Oubre Jr.,79.0,200.66,15.2,4.7,1.2,Kansas,USA,PHX
10061,2017-18,Kelly Oubre Jr.,79.0,200.66,11.8,4.5,1.2,Kansas,USA,WAS
9181,2016-17,Kemba Walker,73.0,185.42,23.2,3.9,5.5,Connecticut,USA,CHA
10060,2017-18,Kemba Walker,73.0,185.42,22.1,3.1,5.6,Connecticut,USA,CHA
10524,2018-19,Kemba Walker,73.0,185.42,25.6,4.4,5.9,Connecticut,USA,CHA
10079,2017-18,Kendrick Perkins,82.0,208.28,3.0,1.0,2.0,None,USA,CLE
10080,2017-18,Kenneth Faried,80.0,203.2,5.9,4.8,0.6,Morehead State,USA,DEN
9180,2016-17,Kenneth Faried,80.0,203.2,9.6,7.6,0.9,Morehead State,USA,DEN
10523,2018-19,Kenneth Faried,80.0,203.2,10.4,6.8,0.5,Morehead State,USA,HOU
10522,2018-19,Kenrich Williams,79.0,200.66,6.1,4.8,1.8,None,USA,NOP
10085,2017-18,Kent Bazemore,77.0,195.58,12.9,3.8,3.5,Old Dominion,USA,ATL
9179,2016-17,Kent Bazemore,77.0,195.58,11.0,3.2,2.4,Old Dominion,USA,ATL
10506,2018-19,Kent Bazemore,77.0,195.58,11.6,3.9,2.3,Old Dominion,USA,ATL
10082,2017-18,Kentavious Caldwell-Pope,77.0,195.58,13.4,5.2,2.2,Georgia,USA,LAL
9178,2016-17,Kentavious Caldwell-Pope,77.0,195.58,13.8,3.3,2.5,Georgia,USA,DET
10493,2018-19,Kentavious Caldwell-Pope,77.0,195.58,11.4,2.9,1.3,Georgia,USA,LAL
10094,2017-18,Kevin Durant,81.0,205.74,26.4,6.8,5.4,Texas,USA,GSW
10494,2018-19,Kevin Durant,81.0,205.74,26.0,6.4,5.9,Texas,USA,GSW
9192,2016-17,Kevin Durant,81.0,205.74,25.1,8.3,4.8,Texas,USA,GSW
10495,2018-19,Kevin Huerter,79.0,200.66,9.7,3.3,2.9,Maryland,USA,ATL
10496,2018-19,Kevin Knox II,81.0,205.74,12.8,4.5,1.1,Kentucky,USA,NYK
10100,2017-18,Kevin Love,82.0,208.28,17.6,9.3,1.7,UCLA,USA,CLE
10497,2018-19,Kevin Love,82.0,208.28,17.0,10.9,2.2,UCLA,USA,CLE
9177,2016-17,Kevin Love,82.0,208.28,19.0,11.1,1.9,UCLA,USA,CLE
9175,2016-17,Kevin Seraphin,82.0,208.28,4.7,2.9,0.5,Le Moyne,France,IND
9174,2016-17,Kevon Looney,81.0,205.74,2.5,2.3,0.5,UCLA,USA,GSW
10498,2018-19,Kevon Looney,81.0,205.74,6.3,5.2,1.5,UCLA,USA,GSW
10099,2017-18,Kevon Looney,81.0,205.74,4.0,3.3,0.6,UCLA,USA,GSW
10097,2017-18,Khem Birch,81.0,205.74,4.2,4.3,0.8,UNLV,Canada,ORL
10499,2018-19,Khem Birch,81.0,205.74,4.8,3.8,0.8,UNLV,Canada,ORL
10096,2017-18,Khris Middleton,80.0,203.2,20.1,5.2,4.0,Texas A&M,USA,MIL
10500,2018-19,Khris Middleton,80.0,203.2,18.3,6.0,4.3,Texas A&M,USA,MIL
9173,2016-17,Khris Middleton,80.0,203.2,14.7,4.2,3.4,Texas A&M,USA,MIL
10501,2018-19,Khyri Thomas,75.0,190.5,2.3,0.8,0.3,Creighton,USA,DET
9172,2016-17,Klay Thompson,79.0,200.66,22.3,3.7,2.1,Washington State,USA,GSW
10095,2017-18,Klay Thompson,79.0,200.66,20.0,3.8,2.5,Washington State,USA,GSW
10502,2018-19,Klay Thompson,79.0,200.66,21.5,3.8,2.4,Washington State,USA,GSW
10093,2017-18,Kobi Simmons,76.0,193.04,6.1,1.6,2.1,Arizona,USA,MEM
10503,2018-19,Kobi Simmons,76.0,193.04,0.0,0.0,0.0,Arizona,USA,CLE
10098,2017-18,Kosta Koufos,84.0,213.36,6.7,6.6,1.2,Ohio State,USA,SAC
9171,2016-17,Kosta Koufos,84.0,213.36,6.6,5.7,0.7,Ohio State,USA,SAC
10504,2018-19,Kosta Koufos,84.0,213.36,3.7,4.2,0.9,Ohio State,USA,SAC
10505,2018-19,Kostas Antetokounmpo,82.0,208.28,1.0,0.5,0.0,University of Dayton,Greece,DAL
10507,2018-19,Kris Dunn,76.0,193.04,11.3,4.1,6.0,Providence,USA,CHI
10091,2017-18,Kris Dunn,76.0,193.04,13.4,4.3,6.0,Providence,USA,CHI
9170,2016-17,Kris Dunn,76.0,193.04,3.8,2.1,2.4,Providence,USA,MIN
9169,2016-17,Kris Humphries,81.0,205.74,4.6,3.7,0.5,Minnesota,USA,ATL
9168,2016-17,Kristaps Porzingis,87.0,220.98,18.1,7.2,1.5,None,Latvia,NYK
10090,2017-18,Kristaps Porzingis,87.0,220.98,22.7,6.6,1.2,None,Latvia,NYK
10521,2018-19,Kyle Anderson,81.0,205.74,8.0,5.8,3.0,UCLA,USA,MEM
10089,2017-18,Kyle Anderson,81.0,205.74,7.9,5.4,2.7,UCLA,USA,SAS
9167,2016-17,Kyle Anderson,81.0,205.74,3.4,2.9,1.3,UCLA,USA,SAS
10092,2017-18,Kyle Collinsworth,78.0,198.12,3.2,3.3,1.8,Brigham Young,USA,DAL
10508,2018-19,Kyle Korver,79.0,200.66,8.6,2.3,1.2,Creighton,USA,UTA
10088,2017-18,Kyle Korver,79.0,200.66,9.2,2.3,1.2,Creighton,USA,CLE
9166,2016-17,Kyle Korver,79.0,200.66,10.1,2.8,1.6,Creighton,USA,CLE
10509,2018-19,Kyle Kuzma,81.0,205.74,18.7,5.5,2.5,Utah,USA,LAL
10087,2017-18,Kyle Kuzma,81.0,205.74,16.1,6.3,1.8,Utah,USA,LAL
10510,2018-19,Kyle Lowry,73.0,185.42,14.2,4.8,8.7,Villanova,USA,TOR
10083,2017-18,Kyle Lowry,72.0,182.88,16.2,5.6,6.9,Villanova,USA,TOR
9165,2016-17,Kyle Lowry,72.0,182.88,22.4,4.8,7.0,Villanova,USA,TOR
9164,2016-17,Kyle O'Quinn,82.0,208.28,6.3,5.6,1.5,Norfolk State,USA,NYK
10084,2017-18,Kyle O'Quinn,82.0,208.28,7.1,6.1,2.1,Norfolk State,USA,NYK
10511,2018-19,Kyle O'Quinn,82.0,208.28,3.5,2.6,1.2,Norfolk State,USA,IND
9163,2016-17,Kyle Singler,80.0,203.2,2.8,1.5,0.3,Duke,USA,OKC
10086,2017-18,Kyle Singler,80.0,203.2,1.9,0.8,0.2,Duke,USA,OKC
9162,2016-17,Kyle Wiltjer,82.0,208.28,0.9,0.7,0.1,Gonzaga,Canada,HOU
10059,2017-18,Kyrie Irving,75.0,190.5,24.4,3.8,5.1,Duke,Australia,BOS
9176,2016-17,Kyrie Irving,75.0,190.5,25.2,3.2,5.8,Duke,Australia,CLE
10512,2018-19,Kyrie Irving,75.0,190.5,23.8,5.0,6.9,Duke,Australia,BOS
10075,2017-18,LaMarcus Aldridge,83.0,210.82,23.1,8.5,2.0,Texas,USA,SAS
10513,2018-19,LaMarcus Aldridge,83.0,210.82,21.3,9.2,2.4,Texas,USA,SAS
9194,2016-17,LaMarcus Aldridge,83.0,210.82,17.3,7.3,1.9,Texas,USA,SAS
9210,2016-17,Lamar Patterson,77.0,195.58,1.8,1.4,1.2,Pittsburgh,USA,ATL
10057,2017-18,Lance Stephenson,78.0,198.12,9.2,5.2,2.9,Cincinnati,USA,IND
9195,2016-17,Lance Stephenson,77.0,195.58,6.8,2.9,3.3,Cincinnati,USA,IND
10514,2018-19,Lance Stephenson,78.0,198.12,7.2,3.2,2.1,Cincinnati,USA,LAL
10515,2018-19,Lance Thomas,80.0,203.2,4.5,2.5,0.6,Duke,USA,NYK
10056,2017-18,Lance Thomas,80.0,203.2,4.1,2.4,0.6,Duke,USA,NYK
9225,2016-17,Lance Thomas,80.0,203.2,6.0,3.1,0.8,Duke,USA,NYK
10516,2018-19,Landry Shamet,77.0,195.58,9.1,1.7,1.5,Wichita State,USA,LAC
10032,2017-18,Langston Galloway,74.0,187.96,6.2,1.6,1.0,None,USA,DET
10517,2018-19,Langston Galloway,74.0,187.96,8.4,2.1,1.1,None,USA,DET
9224,2016-17,Langston Galloway,74.0,187.96,7.9,2.1,1.3,Saint Joseph's,USA,SAC
10031,2017-18,Larry Drew II,74.0,187.96,1.7,0.3,1.0,UCLA,USA,NOP
9223,2016-17,Larry Nance Jr.,81.0,205.74,7.1,5.9,1.5,Wyoming,USA,LAL
10030,2017-18,Larry Nance Jr.,81.0,205.74,8.7,6.8,1.2,Wyoming,USA,CLE
10518,2018-19,Larry Nance Jr.,81.0,205.74,9.4,8.2,3.2,Wyoming,USA,CLE
9222,2016-17,Larry Sanders,83.0,210.82,0.8,0.8,0.0,Virginia Commonwealth,USA,CLE
10029,2017-18,Lauri Markkanen,84.0,213.36,15.2,7.5,1.2,Arizona,Finland,CHI
10519,2018-19,Lauri Markkanen,84.0,213.36,18.7,9.0,1.4,Arizona,Finland,CHI
9221,2016-17,Lavoy Allen,81.0,205.74,2.9,3.6,0.9,Temple,USA,IND
10028,2017-18,LeBron James,80.0,203.2,27.5,8.6,9.1,None,USA,CLE
9220,2016-17,LeBron James,80.0,203.2,26.4,8.6,8.7,None,USA,CLE
10520,2018-19,LeBron James,80.0,203.2,27.4,8.5,8.3,None,USA,LAL
9219,2016-17,Leandro Barbosa,75.0,190.5,6.3,1.6,1.2,None,Brazil,PHX
10027,2017-18,London Perrantes,74.0,187.96,0.5,0.3,0.4,Virginia,USA,SAS
10554,2018-19,Lonnie Walker IV,77.0,195.58,2.6,1.0,0.5,Miami,USA,SAS
10026,2017-18,Lonzo Ball,78.0,198.12,10.2,6.9,7.2,UCLA,USA,LAL
10555,2018-19,Lonzo Ball,78.0,198.12,9.9,5.3,5.4,UCLA,USA,LAL
10025,2017-18,Lorenzo Brown,77.0,195.58,2.3,1.1,0.9,North Carolina State,USA,TOR
10556,2018-19,Lorenzo Brown,77.0,195.58,2.1,1.2,1.1,North Carolina State,USA,TOR
9218,2016-17,Lou Williams,73.0,185.42,17.5,2.5,3.0,None,USA,HOU
10033,2017-18,Lou Williams,73.0,185.42,22.6,2.5,5.3,None,USA,LAC
10557,2018-19,Lou Williams,73.0,185.42,20.0,3.0,5.4,None,USA,LAC
10024,2017-18,Luc Mbah a Moute,80.0,203.2,7.5,3.0,0.9,California-Los Angeles,Cameroon,HOU
10591,2018-19,Luc Mbah a Moute,80.0,203.2,5.0,1.8,0.5,California-Los Angeles,Cameroon,LAC
9217,2016-17,Luc Mbah a Moute,80.0,203.2,6.1,2.1,0.5,UCLA,Cameroon,LAC
10022,2017-18,Lucas Nogueira,84.0,213.36,2.5,1.8,0.4,None,Brazil,TOR
9216,2016-17,Lucas Nogueira,84.0,213.36,4.4,4.3,0.7,None,Brazil,TOR
10021,2017-18,Luis Montero,79.0,200.66,0.0,1.0,0.0,Westchester CC NY,Dominican Republic,DET
9215,2016-17,Luis Scola,81.0,205.74,5.1,3.9,1.0,None,Argentina,BKN
10592,2018-19,Luka Doncic,79.0,200.66,21.2,7.8,6.0,None,Slovenia,DAL
9214,2016-17,Luke Babbitt,81.0,205.74,4.8,2.1,0.5,Nevada,USA,MIA
10020,2017-18,Luke Babbitt,81.0,205.74,5.2,1.9,0.6,Nevada-Reno,USA,MIA
10593,2018-19,Luke Kennard,77.0,195.58,9.7,2.9,1.8,Duke,USA,DET
10019,2017-18,Luke Kennard,77.0,195.58,7.6,2.4,1.7,Duke,USA,DET
10018,2017-18,Luke Kornet,85.0,215.9,6.7,3.2,1.3,Vanderbilt,USA,NYK
10594,2018-19,Luke Kornet,85.0,215.9,7.0,2.9,1.2,Vanderbilt,USA,NYK
9213,2016-17,Luol Deng,81.0,205.74,7.6,5.3,1.3,Duke,United Kingdom,LAL
10595,2018-19,Luol Deng,81.0,205.74,7.1,3.3,0.8,Duke,United Kingdom,MIN
10017,2017-18,Luol Deng,81.0,205.74,2.0,0.0,1.0,Duke,United Kingdom,LAL
10016,2017-18,Malachi Richardson,78.0,198.12,3.4,1.3,0.5,Syracuse,USA,TOR
9212,2016-17,Malachi Richardson,78.0,198.12,3.6,1.0,0.5,Syracuse,USA,SAC
10596,2018-19,Malachi Richardson,78.0,198.12,1.4,0.6,0.0,Syracuse,USA,TOR
9226,2016-17,Malcolm Brogdon,77.0,195.58,10.2,2.8,4.2,Virginia,USA,MIL
10597,2018-19,Malcolm Brogdon,77.0,195.58,15.6,4.5,3.2,Virginia,USA,MIL
10015,2017-18,Malcolm Brogdon,77.0,195.58,13.0,3.3,3.2,Virginia,USA,MIL
9211,2016-17,Malcolm Delaney,75.0,190.5,5.4,1.7,2.6,Virginia Tech,USA,ATL
10023,2017-18,Malcolm Delaney,75.0,190.5,6.3,1.9,3.0,Virginia Tech,USA,ATL
10598,2018-19,Malcolm Miller,79.0,200.66,3.5,0.5,0.1,Holy Cross,USA,TOR
10034,2017-18,Malcolm Miller,79.0,200.66,2.5,1.0,0.2,Holy Cross,USA,TOR
10035,2017-18,Malik Beasley,77.0,195.58,3.2,1.1,0.5,Florida State,USA,DEN
10599,2018-19,Malik Beasley,77.0,195.58,11.3,2.5,1.2,Florida State,USA,DEN
9209,2016-17,Malik Beasley,77.0,195.58,3.8,0.8,0.5,Florida State,USA,DEN
10036,2017-18,Malik Monk,75.0,190.5,6.7,1.0,1.4,Kentucky,USA,CHA
10600,2018-19,Malik Monk,75.0,190.5,8.9,1.9,1.6,Kentucky,USA,CHA
10055,2017-18,Mangok Mathiang,82.0,208.28,2.0,2.5,0.0,Louisville,Australia,CHA
9208,2016-17,Manny Harris,77.0,195.58,2.0,2.3,0.5,Michigan,USA,DAL
10054,2017-18,Manu Ginobili,78.0,198.12,8.9,2.2,2.5,None,Argentina,SAS
9207,2016-17,Manu Ginobili,78.0,198.12,7.5,2.3,2.7,None,Argentina,SAS
10053,2017-18,MarShon Brooks,77.0,195.58,20.1,3.0,3.6,Providence,USA,MEM
10601,2018-19,MarShon Brooks,77.0,195.58,6.6,1.6,0.9,Providence,USA,MEM
10602,2018-19,Marc Gasol,85.0,215.9,13.6,7.9,4.4,None,Spain,TOR
10052,2017-18,Marc Gasol,85.0,215.9,17.2,8.1,4.2,None,Spain,MEM
9206,2016-17,Marc Gasol,85.0,215.9,19.5,6.3,4.6,None,Spain,MEM
9205,2016-17,Marcelo Huertas,75.0,190.5,2.7,1.0,2.3,None,Brazil,LAL
10603,2018-19,Marcin Gortat,83.0,210.82,5.0,5.6,1.4,None,Poland,LAC
10051,2017-18,Marcin Gortat,83.0,210.82,8.4,7.6,1.8,None,Poland,WAS
9204,2016-17,Marcin Gortat,83.0,210.82,10.8,10.4,1.5,None,Poland,WAS
9203,2016-17,Marco Belinelli,77.0,195.58,10.5,2.4,2.0,None,Italy,CHA
10058,2017-18,Marco Belinelli,77.0,195.58,12.1,1.9,1.9,None,Italy,PHI
10604,2018-19,Marco Belinelli,77.0,195.58,10.5,2.5,1.7,None,Italy,SAS
10605,2018-19,Marcus Derrickson,79.0,200.66,4.2,1.2,0.1,None,USA,GSW
9202,2016-17,Marcus Georges-Hunt,78.0,198.12,2.8,1.8,0.6,Georgia Tech,USA,ORL
10050,2017-18,Marcus Georges-Hunt,77.0,195.58,1.4,0.4,0.2,Georgia Tech,USA,MIN
9201,2016-17,Marcus Morris,81.0,205.74,14.0,4.6,2.0,Kansas,USA,DET
10049,2017-18,Marcus Morris Sr.,81.0,205.74,13.6,5.4,1.3,Kansas,USA,BOS
10606,2018-19,Marcus Morris Sr.,81.0,205.74,13.9,6.1,1.5,Kansas,USA,BOS
10048,2017-18,Marcus Paige,72.0,182.88,2.4,0.8,0.6,North Carolina,USA,CHA
9200,2016-17,Marcus Smart,76.0,193.04,10.6,3.9,4.6,Oklahoma State,USA,BOS
10047,2017-18,Marcus Smart,76.0,193.04,10.2,3.5,4.8,Oklahoma State,USA,BOS
10607,2018-19,Marcus Smart,76.0,193.04,8.9,2.9,4.0,Oklahoma State,USA,BOS
9199,2016-17,Marcus Thornton,76.0,193.04,6.6,2.3,1.2,Louisiana State,USA,WAS
10046,2017-18,Mario Chalmers,74.0,187.96,7.7,2.4,3.0,Kansas,USA,MEM
10608,2018-19,Mario Hezonja,80.0,203.2,8.8,4.1,1.5,None,Croatia,NYK
9748,2017-18,Mario Hezonja,80.0,203.2,9.6,3.7,1.4,None,Croatia,ORL
9198,2016-17,Mario Hezonja,80.0,203.2,4.9,2.2,1.0,None,Croatia,ORL
10045,2017-18,Markel Brown,75.0,190.5,1.3,1.3,0.5,Oklahoma State,USA,HOU
10044,2017-18,Markelle Fultz,76.0,193.04,7.1,3.1,3.8,Washington,USA,PHI
10609,2018-19,Markelle Fultz,76.0,193.04,8.2,3.7,3.1,Washington,USA,ORL
10043,2017-18,Markieff Morris,82.0,208.28,11.5,5.6,1.9,Kansas,USA,WAS
10610,2018-19,Markieff Morris,82.0,208.28,9.4,4.6,1.4,Kansas,USA,OKC
9197,2016-17,Markieff Morris,82.0,208.28,14.0,6.5,1.7,Kansas,USA,WAS
10611,2018-19,Marquese Chriss,82.0,208.28,4.2,3.3,0.5,Washington,USA,CLE
10042,2017-18,Marquese Chriss,82.0,208.28,7.7,5.5,1.2,Washington,USA,PHX
