,season,player_name,height (in),height (cm),pts,reb,ast,college,country,team
10115,2018-19,Guerschon Yabusele,80.0,203.2,2.3,1.3,0.4,None,France,BOS
9609,2017-18,Guerschon Yabusele,80.0,203.2,2.4,1.6,0.5,None,France,BOS
10116,2018-19,Hamidou Diallo,77.0,195.58,3.7,1.9,0.3,Kentucky,USA,OKC
9551,2016-17,Harrison Barnes,80.0,203.2,19.2,5.0,1.5,North Carolina,USA,DAL
9561,2017-18,Harrison Barnes,80.0,203.2,18.9,6.1,2.0,North Carolina,USA,DAL
10117,2018-19,Harrison Barnes,80.0,203.2,16.4,4.7,1.5,North Carolina,USA,SAC
10118,2018-19,Harry Giles III,82.0,208.28,7.0,3.8,1.5,Duke,USA,SAC
9586,2017-18,Hassan Whiteside,84.0,213.36,14.0,11.4,1.0,Marshall,USA,MIA
10119,2018-19,Hassan Whiteside,84.0,213.36,12.3,11.3,0.8,Marshall,USA,MIA
9550,2016-17,Hassan Whiteside,84.0,213.36,17.0,14.1,0.7,Marshall,USA,MIA
10113,2018-19,Haywood Highsmith,79.0,200.66,1.8,1.0,0.4,None,USA,PHI
10120,2018-19,Henry Ellenson,83.0,210.82,6.0,3.5,0.8,Marquette,USA,NYK
9587,2017-18,Henry Ellenson,83.0,210.82,4.0,2.1,0.5,Marquette,USA,DET
9549,2016-17,Henry Ellenson,83.0,210.82,3.2,2.2,0.4,Marquette,USA,DET
9548,2016-17,Hollis Thompson,80.0,203.2,5.1,2.8,0.9,Georgetown,USA,NOP
10121,2018-19,Ian Clark,75.0,190.5,6.7,1.5,1.6,Belmont,USA,NOP
9588,2017-18,Ian Clark,75.0,190.5,7.4,1.7,1.5,Belmont,USA,NOP
9555,2016-17,Ian Clark,75.0,190.5,6.8,1.6,1.2,Belmont,USA,GSW
9693,2017-18,Ian Mahinmi,83.0,210.82,4.8,4.1,0.7,None,France,WAS
10122,2018-19,Ian Mahinmi,83.0,210.82,4.1,3.8,0.7,None,France,WAS
9547,2016-17,Ian Mahinmi,83.0,210.82,5.6,4.8,0.6,None,France,WAS
10123,2018-19,Ike Anigbogu,82.0,208.28,0.0,1.0,0.3,UCLA,USA,IND
9747,2017-18,Ike Anigbogu,82.0,208.28,1.2,0.8,0.0,UCLA,USA,IND
10124,2018-19,Iman Shumpert,77.0,195.58,7.5,3.0,1.8,Georgia Tech,USA,HOU
9545,2016-17,Iman Shumpert,77.0,195.58,7.5,2.9,1.4,Georgia Tech,USA,CLE
9860,2017-18,Iman Shumpert,77.0,195.58,4.4,2.9,1.2,Georgia Tech,USA,SAC
10126,2018-19,Isaac Bonga,80.0,203.2,0.9,1.1,0.7,None,Germany,LAL
10127,2018-19,Isaac Humphries,84.0,213.36,3.0,2.2,0.0,Kentucky,Australia,ATL
10102,2018-19,Isaiah Briscoe,75.0,190.5,3.5,1.9,2.2,None,USA,ORL
9544,2016-17,Isaiah Canaan,72.0,182.88,4.6,1.3,0.9,Murray State,USA,CHI
10134,2018-19,Isaiah Canaan,72.0,182.88,6.0,1.9,2.8,Murray State,USA,MIL
9749,2017-18,Isaiah Canaan,72.0,182.88,8.6,2.3,3.8,Murray State,USA,OKC
10162,2018-19,Isaiah Hartenstein,84.0,213.36,1.9,1.7,0.5,None,Germany,HOU
10195,2018-19,Isaiah Hicks,81.0,205.74,4.0,2.3,0.7,North Carolina,USA,NYK
9988,2017-18,Isaiah Hicks,81.0,205.74,4.4,2.3,0.9,North Carolina,USA,NYK
9543,2016-17,Isaiah Taylor,75.0,190.5,0.8,0.8,0.8,Texas,USA,HOU
9986,2017-18,Isaiah Taylor,75.0,190.5,6.6,1.4,3.1,Texas,USA,ATL
9542,2016-17,Isaiah Thomas,69.0,175.26,28.9,2.7,5.9,Washington,USA,BOS
9985,2017-18,Isaiah Thomas,69.0,175.26,15.2,2.1,4.8,Washington,USA,LAL
10164,2018-19,Isaiah Thomas,69.0,175.26,8.1,1.1,1.9,Washington,USA,DEN
9984,2017-18,Isaiah Whitehead,76.0,193.04,6.3,1.6,1.3,Seton Hall,USA,BKN
9541,2016-17,Isaiah Whitehead,76.0,193.04,7.4,2.5,2.6,Seton Hall,USA,BKN
9983,2017-18,Ish Smith,72.0,182.88,10.9,2.7,4.4,Wake Forest,USA,DET
9540,2016-17,Ish Smith,72.0,182.88,9.4,2.9,5.2,Wake Forest,USA,DET
10198,2018-19,Ish Smith,72.0,182.88,8.9,2.6,3.6,Wake Forest,USA,DET
9982,2017-18,Ivan Rabb,82.0,208.28,5.6,4.4,0.9,"University of California, Berkeley",USA,MEM
10199,2018-19,Ivan Rabb,82.0,208.28,5.8,4.2,1.1,"University of California, Berkeley",USA,MEM
10200,2018-19,Ivica Zubac,85.0,215.9,8.9,6.1,1.1,None,Croatia,LAC
9539,2016-17,Ivica Zubac,85.0,215.9,7.5,4.2,0.8,None,Croatia,LAL
9981,2017-18,Ivica Zubac,85.0,215.9,3.7,2.9,0.6,None,Croatia,LAL
9989,2017-18,J.J. Barea,72.0,182.88,11.6,2.9,6.3,Northeastern,Puerto Rico,DAL
9435,2016-17,J.J. Barea,72.0,182.88,10.9,2.4,5.5,Northeastern,Puerto Rico,DAL
10201,2018-19,J.J. Barea,72.0,182.88,10.9,2.5,5.6,Northeastern,Puerto Rico,DAL
10202,2018-19,J.P. Macura,77.0,195.58,3.0,1.5,1.0,Xavier,USA,CHA
9980,2017-18,JJ Redick,76.0,193.04,17.1,2.5,3.0,Duke,USA,PHI
10203,2018-19,JJ Redick,76.0,193.04,18.1,2.4,2.7,Duke,USA,PHI
9485,2016-17,JJ Redick,76.0,193.04,15.0,2.2,1.4,Duke,USA,LAC
9433,2016-17,JR Smith,78.0,198.12,8.6,2.8,1.5,None,USA,CLE
10204,2018-19,JR Smith,78.0,198.12,6.7,1.6,1.9,None,USA,CLE
9978,2017-18,JR Smith,78.0,198.12,8.3,2.9,1.8,None,USA,CLE
9977,2017-18,JaKarr Sampson,81.0,205.74,4.7,3.5,0.4,"St. John's, N.Y.",USA,SAC
10205,2018-19,JaKarr Sampson,81.0,205.74,20.0,8.0,1.0,"St. John's, N.Y.",USA,CHI
9296,2016-17,JaMychal Green,81.0,205.74,8.9,7.1,1.1,Alabama,USA,MEM
10206,2018-19,JaMychal Green,81.0,205.74,9.4,6.3,0.8,Alabama,USA,LAC
9976,2017-18,JaMychal Green,81.0,205.74,10.3,8.4,1.4,Alabama,USA,MEM
9975,2017-18,JaVale McGee,84.0,213.36,4.8,2.6,0.5,Nevada-Reno,USA,GSW
10207,2018-19,JaVale McGee,84.0,213.36,12.0,7.5,0.7,Nevada-Reno,USA,LAL
9259,2016-17,JaVale McGee,84.0,213.36,6.1,3.2,0.2,Nevada,USA,GSW
9974,2017-18,Jabari Bird,78.0,198.12,3.0,1.5,0.6,California,USA,BOS
9258,2016-17,Jabari Parker,80.0,203.2,20.1,6.2,2.8,Duke,USA,MIL
9973,2017-18,Jabari Parker,80.0,203.2,12.6,4.9,1.9,Duke,USA,MIL
10208,2018-19,Jabari Parker,80.0,203.2,14.5,6.6,2.4,Duke,USA,WAS
9972,2017-18,Jack Cooley,82.0,208.28,5.7,4.3,0.9,Notre Dame,USA,SAC
10209,2018-19,Jacob Evans,78.0,198.12,1.3,0.8,0.8,Cincinnati,USA,GSW
9971,2017-18,Jacob Pullen,73.0,185.42,0.7,0.0,0.0,Kansas State,USA,PHI
9979,2017-18,Jacob Wiley,80.0,203.2,0.8,2.2,0.4,Eastern Washington,USA,BKN
9991,2017-18,Jae Crowder,78.0,198.12,9.7,3.4,1.2,Marquette,USA,UTA
9257,2016-17,Jae Crowder,78.0,198.12,13.9,5.8,2.2,Marquette,USA,BOS
10210,2018-19,Jae Crowder,78.0,198.12,11.9,4.8,1.7,Marquette,USA,UTA
9256,2016-17,Jahlil Okafor,83.0,210.82,11.8,4.8,1.2,Duke,USA,PHI
10001,2017-18,Jahlil Okafor,83.0,210.82,6.3,3.0,0.4,Duke,USA,BKN
10211,2018-19,Jahlil Okafor,83.0,210.82,8.2,4.7,0.7,Duke,USA,NOP
9992,2017-18,Jake Layman,81.0,205.74,1.0,0.5,0.3,Maryland,USA,POR
9255,2016-17,Jake Layman,81.0,205.74,2.2,0.7,0.3,Maryland,USA,POR
10212,2018-19,Jake Layman,81.0,205.74,7.6,3.1,0.7,Maryland,USA,POR
10213,2018-19,Jakob Poeltl,84.0,213.36,5.5,5.3,1.2,Utah,Austria,SAS
9254,2016-17,Jakob Poeltl,84.0,213.36,3.1,3.1,0.2,Utah,Austria,TOR
10010,2017-18,Jakob Poeltl,84.0,213.36,6.9,4.8,0.7,Utah,Austria,TOR
10214,2018-19,Jalen Brunson,75.0,190.5,9.3,2.3,3.2,Villanova,USA,DAL
10215,2018-19,Jalen Jones,79.0,200.66,5.1,2.1,0.4,Texas A&M,USA,CLE
10009,2017-18,Jalen Jones,79.0,200.66,4.6,2.4,0.3,Texas A&M,USA,DAL
10216,2018-19,Jamal Crawford,77.0,195.58,7.9,1.3,3.6,Michigan,USA,PHX
9253,2016-17,Jamal Crawford,77.0,195.58,12.3,1.6,2.6,Michigan,USA,LAC
10013,2017-18,Jamal Crawford,77.0,195.58,10.3,1.2,2.3,Michigan,USA,MIN
10008,2017-18,Jamal Murray,76.0,193.04,16.7,3.7,3.4,Kentucky,Canada,DEN
10217,2018-19,Jamal Murray,76.0,193.04,18.2,4.2,4.8,Kentucky,Canada,DEN
9252,2016-17,Jamal Murray,76.0,193.04,9.9,2.6,2.1,Kentucky,Canada,DEN
10007,2017-18,Jameel Warney,80.0,203.2,5.7,3.0,0.0,"Stony Brook, N.Y.",USA,DAL
10006,2017-18,Jameer Nelson,72.0,182.88,4.9,2.1,3.6,None,USA,DET
9251,2016-17,Jameer Nelson,72.0,182.88,9.2,2.6,5.1,Saint Joseph's,USA,DEN
10005,2017-18,Jamel Artis,79.0,200.66,5.1,2.5,1.2,Pittsburgh,USA,ORL
9250,2016-17,James Ennis III,79.0,200.66,6.7,4.0,1.0,Long Beach State,USA,MEM
10218,2018-19,James Ennis III,79.0,200.66,6.7,3.1,0.7,Cal State-Long Beach,USA,PHI
10004,2017-18,James Ennis III,79.0,200.66,7.1,3.1,1.0,Cal State-Long Beach,USA,DET
9249,2016-17,James Harden,77.0,195.58,29.1,8.1,11.2,Arizona State,USA,HOU
10003,2017-18,James Harden,77.0,195.58,30.4,5.4,8.8,Arizona State,USA,HOU
10219,2018-19,James Harden,77.0,195.58,36.1,6.6,7.5,Arizona State,USA,HOU
9248,2016-17,James Johnson,81.0,205.74,12.8,4.9,3.6,Wake Forest,USA,MIA
10220,2018-19,James Johnson,80.0,203.2,7.8,3.2,2.5,Wake Forest,USA,MIA
10011,2017-18,James Johnson,80.0,203.2,10.8,4.9,3.8,Wake Forest,USA,MIA
9247,2016-17,James Jones,80.0,203.2,2.8,0.8,0.3,Miami (FL),USA,CLE
10002,2017-18,James Michael McAdoo,81.0,205.74,2.7,0.7,0.0,North Carolina,USA,PHI
9246,2016-17,James Michael McAdoo,81.0,205.74,2.8,1.8,0.3,North Carolina,USA,GSW
10221,2018-19,James Nunnally,79.0,200.66,2.4,0.3,0.5,Cal-Santa Barbara,USA,HOU
10000,2017-18,James Webb III,81.0,205.74,1.6,2.4,0.4,Boise State,USA,BKN
9999,2017-18,James Young,78.0,198.12,2.8,0.3,0.3,Kentucky,USA,PHI
9260,2016-17,James Young,78.0,198.12,2.3,0.9,0.1,Kentucky,USA,BOS
9998,2017-18,Jamil Wilson,79.0,200.66,7.0,2.1,0.7,Marquette,USA,LAC
10222,2018-19,Jared Dudley,79.0,200.66,4.9,2.6,1.4,Boston College,USA,BKN
9997,2017-18,Jared Dudley,79.0,200.66,3.2,2.0,1.6,Boston College,USA,PHX
9245,2016-17,Jared Dudley,79.0,200.66,6.8,3.5,1.9,Boston College,USA,PHX
9243,2016-17,Jared Sullinger,81.0,205.74,3.4,2.5,0.3,Ohio State,USA,TOR
10223,2018-19,Jared Terrell,75.0,190.5,2.2,0.4,0.9,Rhode Island,USA,MIN
9996,2017-18,Jarell Eddie,79.0,200.66,0.0,0.3,0.0,Virginia Tech,USA,CHI
9242,2016-17,Jarell Eddie,79.0,200.66,4.8,1.4,0.0,Virginia Tech,USA,PHX
9434,2016-17,Jarell Martin,82.0,208.28,3.9,3.9,0.2,Louisiana State,USA,MEM
10224,2018-19,Jarell Martin,82.0,208.28,2.7,1.7,0.4,Louisiana State,USA,ORL
9995,2017-18,Jarell Martin,82.0,208.28,7.7,4.4,1.0,Louisiana State,USA,MEM
10225,2018-19,Jaren Jackson Jr.,83.0,210.82,13.8,4.7,1.1,Michigan State,USA,MEM
9240,2016-17,Jarnell Stokes,81.0,205.74,1.5,1.0,1.0,Tennessee,USA,DEN
10226,2018-19,Jaron Blossomgame,80.0,203.2,4.2,3.6,0.5,Clemson,USA,CLE
10197,2018-19,Jarred Vanderbilt,81.0,205.74,1.4,1.4,0.2,Kentucky,USA,DEN
9994,2017-18,Jarrett Allen,83.0,210.82,8.2,5.4,0.7,Texas,USA,BKN
10227,2018-19,Jarrett Allen,83.0,210.82,10.9,8.4,1.4,Texas,USA,BKN
9993,2017-18,Jarrett Jack,75.0,190.5,7.5,3.1,5.6,Georgia Tech,USA,NYK
9239,2016-17,Jarrett Jack,75.0,190.5,3.0,0.0,2.5,Georgia Tech,USA,NOP
9238,2016-17,Jarrod Uthoff,81.0,205.74,4.4,2.4,1.0,Iowa,USA,DAL
9970,2017-18,Jason Smith,84.0,213.36,3.4,1.6,0.4,Colorado State,USA,WAS
9237,2016-17,Jason Smith,84.0,213.36,5.7,3.5,0.5,Colorado State,USA,WAS
10196,2018-19,Jason Smith,84.0,213.36,3.3,2.6,0.7,Colorado State,USA,NOP
9236,2016-17,Jason Terry,74.0,187.96,4.1,1.4,1.3,Arizona,USA,MIL
9990,2017-18,Jason Terry,74.0,187.96,3.3,0.9,1.2,Arizona,USA,MIL
10194,2018-19,Jawun Evans,72.0,182.88,0.8,1.5,1.3,Oklahoma State,USA,OKC
9969,2017-18,Jawun Evans,72.0,182.88,4.8,1.8,2.1,Oklahoma State,USA,LAC
