,player_name,height (in),pts,reb,ast,college,country,team,Height Range
56,Ben Bentil,81.0,0.0,0.7,0.0,Providence,Ghana,DAL,"6'7"" - 6'9"""
57,Ben McLemore,77.0,6.5,1.8333333333333333,0.6333333333333334,Kansas,USA,SAC,"6'4"" - 6'6"""
58,Ben Moore,80.0,0.0,0.5,0.5,Southern Methodist,USA,IND,"6'7"" - 6'9"""
59,Ben Simmons,82.0,16.35,8.45,7.949999999999999,Louisiana State,Australia,PHI,"6'10"" - 7'"
60,Beno Udrih,75.0,5.8,1.5,3.4,None,Slovenia,DET,"6'1"" - 6'3"""
61,Billy Garrett,78.0,6.5,0.8,1.8,DePaul,USA,NYK,"6'4"" - 6'6"""
62,Bismack Biyombo,81.0,5.366666666666667,5.766666666666667,0.7666666666666666,None,Democratic Republic of the Congo,ORL,"6'7"" - 6'9"""
63,Blake Griffin,82.0,22.5,7.666666666666667,5.366666666666667,Oklahoma,USA,LAC,"6'10"" - 7'"
64,Boban Marjanovic,87.0,6.266666666666667,4.0,0.6,None,Serbia,LAC,> 7ft
65,Bobby Brown,74.0,2.5,0.30000000000000004,0.6,Cal State-Fullerton,USA,HOU,"6'1"" - 6'3"""
66,Bobby Portis,83.0,11.4,6.5,1.2,Arkansas,USA,CHI,"6'10"" - 7'"
67,Bogdan Bogdanovic,78.0,12.95,3.2,3.55,None,Serbia,SAC,"6'4"" - 6'6"""
68,Bojan Bogdanovic,80.0,15.333333333333334,3.6333333333333333,1.6333333333333335,None,Croatia,WAS,"6'7"" - 6'9"""
69,Bonzie Colson,78.0,4.9,3.8,0.4,Notre Dame,USA,MIL,"6'4"" - 6'6"""
70,Boris Diaw,80.0,4.6,2.2,2.3,None,France,UTA,"6'7"" - 6'9"""
71,Brad Wanamaker,76.0,3.9,1.1,1.6,Pittsburgh,USA,BOS,"6'4"" - 6'6"""
72,Bradley Beal,77.0,23.76666666666667,4.166666666666667,4.5,Florida,USA,WAS,"6'4"" - 6'6"""
73,Brandan Wright,82.0,5.9,3.0999999999999996,0.5,North Carolina,USA,MEM,"6'10"" - 7'"
74,Brandon Bass,80.0,5.6,2.5,0.4,Louisiana State,USA,LAC,"6'7"" - 6'9"""
75,Brandon Goodwin,74.0,1.4,0.2,0.9,None,USA,DEN,"6'1"" - 6'3"""
76,Brandon Ingram,81.0,14.600000000000001,4.8,3.0,Duke,USA,LAL,"6'7"" - 6'9"""
77,Brandon Jennings,73.0,6.15,2.3,4.0,None,USA,MIL,"6'1"" - 6'3"""
78,Brandon Knight,75.0,8.9,1.85,2.1,Kentucky,USA,CLE,"6'1"" - 6'3"""
79,Brandon Paul,76.0,2.3,1.1,0.6,None,USA,SAS,"6'4"" - 6'6"""
80,Brandon Rush,78.0,4.2,2.1,1.0,Kansas,USA,MIN,"6'4"" - 6'6"""
81,Brandon Sampson,77.0,5.1,1.1,0.7,None,USA,CHI,"6'4"" - 6'6"""
82,Brian Roberts,73.0,3.5,1.0,1.3,Dayton,USA,CHA,"6'1"" - 6'3"""
83,Briante Weber,74.0,2.95,1.6,1.15,Virginia Commonwealth,USA,MEM,"6'1"" - 6'3"""
84,Brice Johnson,82.0,1.85,1.35,0.2,North Carolina,USA,LAC,"6'10"" - 7'"
85,Brook Lopez,84.0,15.333333333333334,4.766666666666667,1.7333333333333334,Stanford,USA,BKN,"6'10"" - 7'"
86,Bruce Brown,77.0,4.3,2.5,1.2,Miami,USA,DET,"6'4"" - 6'6"""
87,Bruno Caboclo,81.0,4.033333333333334,2.5,0.7333333333333334,None,Brazil,SAC,"6'7"" - 6'9"""
88,Bryn Forbes,75.0,7.1000000000000005,1.6333333333333335,1.2333333333333334,Michigan State,USA,SAS,"6'1"" - 6'3"""
89,Buddy Hield,76.0,14.933333333333332,4.033333333333333,1.9666666666666668,Oklahoma,Bahamas,SAC,"6'4"" - 6'6"""
90,C.J. Watson,74.0,4.5,1.4,1.8,Tennessee,USA,ORL,"6'1"" - 6'3"""
91,C.J. Williams,77.0,4.05,1.0,0.9500000000000001,North Carolina State,USA,LAC,"6'4"" - 6'6"""
92,CJ McCollum,75.0,21.8,3.8666666666666667,3.3333333333333335,Lehigh,USA,POR,"6'1"" - 6'3"""
93,CJ Miles,78.0,9.033333333333333,2.3333333333333335,0.6999999999999998,None,USA,TOR,"6'4"" - 6'6"""
94,CJ Wilcox,77.0,1.0,0.5,0.5,Washington,USA,ORL,"6'4"" - 6'6"""
95,Caleb Swanigan,80.5,2.15,2.5,0.5,Purdue,USA,SAC,"6'7"" - 6'9"""
96,Cameron Payne,75.0,6.766666666666667,2.033333333333333,3.0,Murray State,USA,CLE,"6'1"" - 6'3"""
97,Cameron Reynolds,80.0,5.0,1.6,0.7,None,USA,MIN,"6'7"" - 6'9"""
98,Caris LeVert,79.0,11.333333333333334,3.6,3.3333333333333335,Michigan,USA,BKN,"6'7"" - 6'9"""
99,Carmelo Anthony,80.0,17.333333333333332,5.7,1.5666666666666667,Syracuse,USA,HOU,"6'7"" - 6'9"""
100,Cedi Osman,80.0,8.45,3.35,1.65,None,Turkey,CLE,"6'7"" - 6'9"""
101,Chandler Hutchison,79.0,5.2,4.2,0.8,Boise State,USA,CHI,"6'7"" - 6'9"""
102,Chandler Parsons,82.0,7.2,2.6,1.7333333333333332,Florida,USA,MEM,"6'10"" - 7'"
103,Channing Frye,83.33333333333333,5.8999999999999995,2.6,0.6333333333333333,Arizona,USA,LAL,"6'10"" - 7'"
104,Charles Cooke,77.0,0.5,0.2,0.1,University of Dayton,USA,NOP,"6'4"" - 6'6"""
105,Chasson Randle,74.0,5.4,1.15,1.65,Stanford,USA,WAS,"6'1"" - 6'3"""
106,Cheick Diallo,81.0,5.333333333333333,4.533333333333334,0.3666666666666667,Kansas,Mali,NOP,"6'7"" - 6'9"""
107,Chimezie Metu,82.0,1.8,1.2,0.4,USC,USA,SAS,"6'10"" - 7'"
108,Chinanu Onuaku,82.0,3.4,3.0,0.8,Louisville,USA,HOU,"6'10"" - 7'"
109,Chris Andersen,82.0,2.3,2.6,0.4,Blinn,USA,CLE,"6'10"" - 7'"
110,Chris Boucher,82.0,1.65,1.5,0.05,Oregon,Canada,GSW,"6'10"" - 7'"
111,Chris Chiozza,72.0,0.9,0.6,0.6,None,USA,HOU,<= 6ft
112,Chris McCullough,81.0,2.3499999999999996,1.25,0.15000000000000002,Syracuse,USA,WAS,"6'7"" - 6'9"""
113,Chris Paul,72.0,17.433333333333334,5.0,8.433333333333334,Wake Forest,USA,LAC,<= 6ft
114,Christian Wood,82.5,5.449999999999999,3.1,0.30000000000000004,Nevada-Las Vegas,USA,CHA,"6'10"" - 7'"
115,Clint Capela,82.0,14.366666666666667,10.533333333333333,1.0999999999999999,None,Switzerland,HOU,"6'10"" - 7'"
116,Cody Zeller,84.0,9.166666666666666,6.233333333333333,1.5333333333333332,Indiana,USA,CHA,"6'10"" - 7'"
117,Cole Aldrich,83.0,1.15,1.6,0.25,Kansas,USA,MIN,"6'10"" - 7'"
118,Collin Sexton,74.0,16.7,2.9,3.0,Alabama,USA,CLE,"6'1"" - 6'3"""
119,Corey Brewer,81.0,4.8999999999999995,2.1999999999999997,1.1333333333333335,Florida,USA,SAC,"6'7"" - 6'9"""
120,Cory Joseph,75.0,7.900000000000001,3.1666666666666665,3.466666666666667,Texas,Canada,TOR,"6'1"" - 6'3"""
121,Courtney Lee,77.0,8.933333333333334,2.6333333333333333,1.9333333333333333,Western Kentucky,USA,NYK,"6'4"" - 6'6"""
122,Cristiano Felicio,81.33333333333333,4.8,4.166666666666667,0.7333333333333334,None,Brazil,CHI,"6'10"" - 7'"
123,D'Angelo Russell,77.0,17.400000000000002,3.766666666666667,5.666666666666667,Ohio State,USA,LAL,"6'4"" - 6'6"""
124,D.J. Augustin,72.0,9.933333333333334,2.033333333333333,3.9333333333333336,Texas,USA,ORL,<= 6ft
125,D.J. Wilson,82.0,3.4,2.55,0.6000000000000001,Michigan,USA,MIL,"6'10"" - 7'"
126,DJ Stephens,77.0,2.0,0.0,0.0,Memphis,USA,MEM,"6'4"" - 6'6"""
127,Dahntay Jones,78.0,9.0,2.0,1.0,Duke,USA,CLE,"6'4"" - 6'6"""
