,player_name,height (in),pts,reb,ast,college,country,team,2020-21 Salary ($),2020-21 Salary (Millions)
122,Collin Sexton,74.0,16.7,2.9,3.0,Alabama,USA,CLE,4991880.0,4.99188
124,Cory Joseph,75.0,7.900000000000001,3.1666666666666665,3.466666666666667,Texas,Canada,TOR,12600000.0,12.6
127,D'Angelo Russell,77.0,17.400000000000002,3.766666666666667,5.666666666666667,Ohio State,USA,LAL,28649250.0,28.64925
128,D.J. Augustin,72.0,9.933333333333334,2.033333333333333,3.9333333333333336,Texas,USA,ORL,6666667.0,6.666667
129,D.J. Wilson,82.0,3.4,2.55,0.6000000000000001,Michigan,USA,MIL,4548280.0,4.54828
133,Dakari Johnson,84.0,1.8,1.1,0.3,Kentucky,USA,OKC,459414.0,0.459414
134,Damian Jones,84.0,3.0,2.1,0.43333333333333335,Vanderbilt,USA,GSW,785285.0,0.785285
135,Damian Lillard,75.0,26.566666666666666,4.666666666666667,6.466666666666666,Weber State,USA,POR,31626953.0,31.626953
137,Damion Lee,78.0,7.8,3.35,1.15,Louisville,USA,ATL,1762796.0,1.762796
139,Damyean Dotson,77.5,7.3999999999999995,2.75,1.25,Houston,USA,NYK,2000000.0,2.0
142,Daniel Theis,80.5,5.5,3.8499999999999996,0.95,None,Germany,BOS,5000000.0,5.0
143,Danilo Gallinari,82.0,17.766666666666666,5.366666666666666,2.233333333333333,None,Italy,LAC,19500000.0,19.5
144,Danny Green,78.0,8.733333333333333,3.633333333333333,1.6666666666666667,North Carolina,USA,TOR,15365854.0,15.365854
146,Dante Exum,78.0,7.066666666666666,1.8333333333333333,2.466666666666667,None,Australia,UTA,9600000.0,9.6
147,Danuel House,79.0,0.0,1.0,0.0,Texas A&M,USA,WAS,3717000.0,3.717
150,Darius Miller,80.0,8.0,1.95,1.75,Kentucky,USA,NOP,7000000.0,7.0
156,David Nwaba,76.0,6.8,3.7000000000000006,1.0999999999999999,None,USA,LAL,1862250.0,1.86225
161,De'Aaron Fox,75.0,14.45,3.3,5.85,Kentucky,USA,SAC,8099627.0,8.099627
162,De'Anthony Melton,76.0,5.0,2.7,3.2,USC,USA,PHX,7812500.0,7.8125
163,DeAndre Jordan,83.0,11.9,14.033333333333331,1.6666666666666667,Texas A&M,USA,LAC,10375678.0,10.375678
165,DeAndre' Bembry,78.0,5.433333333333334,2.9333333333333336,1.7,None,USA,ATL,1737145.0,1.737145
166,DeMar DeRozan,79.0,23.833333333333332,5.033333333333333,5.1000000000000005,Southern California,USA,TOR,27739975.0,27.739975
167,DeMarcus Cousins,83.0,22.833333333333332,10.700000000000001,4.533333333333333,Kentucky,USA,NOP,2666959.0,2.666959
169,DeMarre Carroll,80.0,11.166666666666666,5.199999999999999,1.4333333333333333,Missouri,USA,TOR,6167887.0,6.167887
171,Deandre Ayton,85.0,16.3,10.3,1.8,Arizona,Bahamas,PHX,10018200.0,10.0182
172,Dejounte Murray,77.0,5.75,3.4000000000000004,2.1,Washington,USA,SAS,14285714.0,14.285714
173,Delon Wright,77.0,7.433333333333333,2.733333333333333,2.766666666666667,Utah,USA,TOR,9000000.0,9.0
174,Demetrius Jackson,73.0,2.266666666666667,0.7000000000000001,0.6666666666666666,Notre Dame,USA,PHI,92857.0,0.092857
177,Dennis Smith Jr.,75.0,14.399999999999999,3.3499999999999996,5.0,North Carolina State,USA,DAL,5686677.0,5.686677
178,Denzel Valentine,78.0,7.6499999999999995,3.8499999999999996,2.1500000000000004,Michigan State,USA,CHI,4642800.0,4.6428
181,Derrick Favors,82.0,11.200000000000001,6.900000000000001,1.2,Georgia Tech,USA,UTA,9258000.0,9.258
182,Derrick Jones Jr.,79.0,5.133333333333334,2.8000000000000003,0.5,Nevada-Las Vegas,USA,PHX,9268293.0,9.268293
183,Derrick Rose,75.0,14.799999999999999,2.6333333333333333,3.4,Memphis,USA,MIN,7682927.0,7.682927
185,Derrick White,76.0,6.550000000000001,2.6,2.2,Colorado,USA,SAS,3516284.0,3.516284
187,Devin Booker,78.0,24.53333333333333,3.9333333333333336,4.966666666666666,Kentucky,USA,PHX,29430000.0,29.43
190,Devonte' Graham,74.0,4.7,1.4,2.6,Kansas,USA,CHA,1663861.0,1.663861
191,Dewayne Dedmon,84.0,8.633333333333333,7.3,1.1666666666666667,Southern California,USA,SAS,3447478.0,3.447478
195,Dillon Brooks,78.0,9.25,2.4,1.25,Oregon,Canada,MEM,11400000.0,11.4
196,Dion Waiters,76.0,14.033333333333333,2.8333333333333335,3.633333333333333,Syracuse,USA,MIA,12650000.0,12.65
198,Domantas Sabonis,82.66666666666667,10.533333333333333,6.866666666666667,1.9666666666666668,Gonzaga,Lithuania,IND,17187500.0,17.1875
200,Donovan Mitchell,75.0,22.15,3.9,3.95,Louisville,USA,UTA,5195501.0,5.195501
201,Donte DiVincenzo,76.0,4.9,2.4,1.1,Villanova,USA,MIL,3044160.0,3.04416
203,Dorian Finney-Smith,80.0,5.8999999999999995,3.7000000000000006,1.0666666666666667,Florida,USA,DAL,4000000.0,4.0
204,Doug McDermott,80.0,8.033333333333333,2.1999999999999997,0.9333333333333332,Creighton,USA,DAL,7333333.0,7.333333
206,Draymond Green,79.0,9.533333333333333,7.599999999999999,7.066666666666666,Michigan State,USA,GSW,22246956.0,22.246956
207,Drew Eubanks,82.0,1.8,1.5,0.3,None,USA,SAS,1620564.0,1.620564
208,Duncan Robinson,80.0,3.3,1.3,0.3,Michigan,USA,MIA,1663861.0,1.663861
210,Dwayne Bacon,79.0,5.3,2.2,0.9,Florida State,USA,CHA,1678854.0,1.678854
212,Dwight Howard,83.0,14.300000000000002,11.466666666666667,1.0333333333333334,None,USA,ATL,2564753.0,2.564753
213,Dwight Powell,83.0,8.6,4.966666666666666,1.0999999999999999,Stanford,Canada,DAL,10185185.0,10.185185
216,E'Twaun Moore,76.0,11.333333333333334,2.466666666666667,2.1333333333333333,Purdue,USA,NOP,2331593.0,2.331593
217,Ed Davis,82.0,5.133333333333333,7.099999999999999,0.6333333333333334,North Carolina,USA,POR,5005350.0,5.00535
218,Edmond Sumner,77.5,2.45,1.0,0.2,Xavier,USA,IND,2160000.0,2.16
221,Elfrid Payton,76.0,12.033333333333331,4.733333333333333,6.766666666666667,Louisana-Lafayette,USA,NOP,5760000.0,5.76
228,Enes Kanter,83.0,14.033333333333331,9.166666666666666,1.366666666666667, ,Turkey,POR,5005350.0,5.00535
229,Eric Bledsoe,73.0,18.233333333333334,4.3999999999999995,5.6000000000000005,Kentucky,USA,MIL,16875000.0,16.875
230,Eric Gordon,76.0,16.8,2.466666666666667,2.1999999999999997,Indiana,USA,HOU,16869276.0,16.869276
234,Evan Fournier,79.0,16.7,3.1666666666666665,3.1666666666666665,None,France,ORL,17000000.0,17.0
237,Frank Kaminsky,84.0,10.466666666666667,3.8666666666666667,1.7,Wisconsin,USA,CHA,1882867.0,1.882867
239,Frank Ntilikina,77.5,5.800000000000001,2.15,3.0,None,France,NYK,6176578.0,6.176578
240,Fred VanVleet,72.0,7.5,2.033333333333333,2.966666666666667,Wichita State,USA,TOR,21250000.0,21.25
241,Furkan Korkmaz,79.0,3.7,1.5,0.7000000000000001,None,Turkey,PHI,1762796.0,1.762796
242,Garrett Temple,78.0,8.0,2.6666666666666665,1.9666666666666668,Louisiana State,USA,SAC,4767000.0,4.767
243,Gary Clark,80.0,2.9,2.3,0.4,None,USA,HOU,2000000.0,2.0
244,Gary Harris,76.0,15.1,2.8333333333333335,2.6666666666666665,Michigan State,USA,DEN,19160714.0,19.160714
247,Gary Trent Jr.,78.0,2.7,0.7,0.3,None,USA,POR,1663861.0,1.663861
248,George Hill,75.0,11.5,2.8666666666666667,3.1,None,USA,MIL,9590602.0,9.590602
250,Georges Niang,79.33333333333333,1.9666666666666668,1.0666666666666667,0.3666666666666667,Iowa State,USA,UTA,1783557.0,1.783557
255,Giannis Antetokounmpo,83.0,25.833333333333332,10.433333333333334,5.366666666666667,None,Greece,MIL,27528090.0,27.52809
256,Glenn Robinson III,78.33333333333333,4.8,2.2333333333333334,0.6,Michigan,USA,IND,930930.0,0.93093
258,Gordon Hayward,80.0,11.799999999999999,3.6333333333333333,2.3000000000000003,Butler,USA,BOS,28500000.0,28.5
259,Gorgui Dieng,83.0,7.433333333333334,5.533333333333334,1.2333333333333334,Louisville,Senegal,MIN,17587688.0,17.587688
261,Grayson Allen,77.0,5.6,0.6,0.7,Duke,USA,UTA,2545320.0,2.54532
264,Guerschon Yabusele,80.0,2.3499999999999996,1.4500000000000002,0.45,None,France,BOS,1039080.0,1.03908
265,Hamidou Diallo,77.0,3.7,1.9,0.3,Kentucky,USA,OKC,1663861.0,1.663861
266,Harrison Barnes,80.0,18.166666666666664,5.266666666666667,1.6666666666666667,North Carolina,USA,DAL,22215909.0,22.215909
268,Hassan Whiteside,84.0,14.433333333333332,12.266666666666667,0.8333333333333334,Marshall,USA,MIA,2320044.0,2.320044
270,Henry Ellenson,83.0,4.3999999999999995,2.6,0.5666666666666668,Marquette,USA,NYK,50000.0,0.05
275,Iman Shumpert,77.0,6.466666666666666,2.9333333333333336,1.4666666666666668,Georgia Tech,USA,HOU,447155.0,0.447155
276,Isaac Bonga,80.0,0.9,1.1,0.7,None,Germany,LAL,1663861.0,1.663861
280,Isaiah Hartenstein,84.0,1.9,1.7,0.5,None,Germany,HOU,1445697.0,1.445697
285,Ish Smith,72.0,9.733333333333334,2.733333333333333,4.4,Wake Forest,USA,DET,6146341.0,6.146341
287,Ivica Zubac,85.0,6.699999999999999,4.4,0.8333333333333334,None,Croatia,LAC,7000000.0,7.0
288,J.J. Barea,72.0,11.133333333333333,2.6,5.8,Northeastern,Puerto Rico,DAL,2564753.0,2.564753
292,JaKarr Sampson,81.0,12.35,5.75,0.7,"St. John's, N.Y.",USA,SAC,1882867.0,1.882867
293,JaMychal Green,81.0,9.533333333333333,7.266666666666666,1.0999999999999999,Alabama,USA,MEM,7199760.0,7.19976
294,JaVale McGee,84.0,7.633333333333333,4.433333333333334,0.4666666666666666,Nevada-Reno,USA,GSW,4200000.0,4.2
296,Jabari Parker,80.0,15.733333333333334,5.900000000000001,2.3666666666666667,Duke,USA,MIL,6916834.0,6.916834
299,Jacob Evans,78.0,1.3,0.8,0.8,Cincinnati,USA,GSW,2017320.0,2.01732
302,Jae Crowder,78.0,11.833333333333334,4.666666666666667,1.7000000000000002,Marquette,USA,UTA,9258000.0,9.258
303,Jahlil Okafor,83.0,8.766666666666667,4.166666666666667,0.7666666666666666,Duke,USA,PHI,1882867.0,1.882867
304,Jake Layman,81.0,3.6,1.4333333333333333,0.4333333333333333,Maryland,USA,POR,3761085.0,3.761085
305,Jakob Poeltl,84.0,5.166666666666667,4.3999999999999995,0.6999999999999998,Utah,Austria,SAS,8101852.0,8.101852
306,Jalen Brunson,75.0,9.3,2.3,3.2,Villanova,USA,DAL,1663861.0,1.663861
309,Jamal Murray,76.0,14.933333333333332,3.5,3.433333333333333,Kentucky,Canada,DEN,29250000.0,29.25
314,James Harden,77.0,31.866666666666664,6.7,9.166666666666666,Arizona State,USA,HOU,40824000.0,40.824
315,James Johnson,80.33333333333333,10.466666666666667,4.333333333333334,3.2999999999999994,Wake Forest,USA,MIA,16047100.0,16.0471
322,Jared Dudley,79.0,4.966666666666668,2.6999999999999997,1.6333333333333335,Boston College,USA,BKN,2564753.0,2.564753
327,Jaren Jackson Jr.,83.0,13.8,4.7,1.1,Michigan State,USA,MEM,7257360.0,7.25736
330,Jarred Vanderbilt,81.0,1.4,1.4,0.2,Kentucky,USA,DEN,1663861.0,1.663861
331,Jarrett Allen,83.0,9.55,6.9,1.0499999999999998,Texas,USA,BKN,3909902.0,3.909902
338,Jaylen Brown,79.0,11.366666666666667,3.966666666666667,1.2666666666666668,California,USA,BOS,22991071.0,22.991071
340,Jayson Tatum,80.0,14.8,5.5,1.85,Duke,USA,BOS,9897120.0,9.89712
341,Jeff Green,81.0,10.766666666666666,3.4333333333333336,1.4333333333333333,Georgetown,USA,ORL,2564753.0,2.564753
342,Jeff Teague,74.0,13.866666666666667,3.1666666666666665,7.666666666666667,Wake Forest,USA,MIN,3372826.0,3.372826
346,Jerami Grant,81.0,9.166666666666666,3.9000000000000004,0.7666666666666666,Syracuse,USA,OKC,19047619.0,19.047619
348,Jeremy Lamb,77.0,12.633333333333335,4.633333333333333,1.9000000000000001,Connecticut,USA,CHA,10500000.0,10.5
350,Jerian Grant,76.0,6.166666666666667,1.8999999999999997,3.033333333333333,Notre Dame,USA,CHI,1882867.0,1.882867
351,Jerome Robinson,77.0,3.4,1.2,0.6,Boston College,USA,LAC,3737520.0,3.73752
353,Jevon Carter,74.0,4.4,1.7,1.8,West Virginia,USA,MEM,3549383.0,3.549383
355,Jimmy Butler,79.66666666666667,21.599999999999998,5.6000000000000005,4.8,Marquette,USA,CHI,34379100.0,34.3791
356,Joakim Noah,83.0,4.6,5.5,1.6333333333333335,Florida,USA,MEM,6431666.0,6.431666
359,Joe Harris,78.0,10.9,3.2999999999999994,1.6666666666666667,Virginia,USA,BKN,16071429.0,16.071429
360,Joe Ingles,80.0,10.233333333333333,3.8000000000000003,4.3999999999999995,None,Australia,UTA,10863637.0,10.863637
365,Joel Embiid,84.0,23.53333333333333,10.799999999999999,3.0,Kansas,Cameroon,PHI,29542010.0,29.54201
367,John Collins,82.0,15.0,8.55,1.65,Wake Forest,USA,ATL,4137302.0,4.137302
372,John Wall,76.0,21.066666666666666,3.8333333333333335,9.666666666666666,Kentucky,USA,WAS,41254920.0,41.25492
376,Jon Leuer,82.0,6.466666666666666,3.9333333333333336,0.7999999999999999,Wisconsin,USA,DET,3169348.0,3.169348
381,Jonathan Isaac,82.0,7.5,4.6,0.9,Florida State,USA,ORL,7362566.0,7.362566
384,Jordan Clarkson,77.0,15.133333333333335,3.0,2.566666666666667,Missouri,USA,CLE,11500000.0,11.5
393,Josh Gray,73.0,6.4,2.0,2.4,None,USA,PHX,1620564.0,1.620564
394,Josh Hart,77.0,7.85,3.95,1.35,Villanova,USA,LAL,3491159.0,3.491159
396,Josh Jackson,80.0,12.3,4.5,1.9,Kansas,USA,PHX,4767000.0,4.767
399,Josh Okogie,76.0,7.7,2.9,1.2,Georgia Institute of Technology,Nigeria,MIN,2651040.0,2.65104
400,Josh Richardson,78.0,13.233333333333334,3.4333333333333336,3.1999999999999997,Tennessee,USA,MIA,10800000.0,10.8
402,Jrue Holiday,76.0,18.533333333333335,4.466666666666667,7.0,UCLA,USA,NOP,26131111.0,26.131111
405,Julius Randle,81.0,16.9,8.433333333333332,3.1,Kentucky,USA,LAL,18900000.0,18.9
407,Justin Anderson,78.0,5.666666666666667,2.5,0.6999999999999998,Virginia,USA,PHI,125000.0,0.125
410,Justin Holiday,78.0,10.133333333333333,3.5333333333333337,1.7000000000000002,Washington,USA,CHI,5720400.0,5.7204
411,Justin Jackson,80.0,6.95,2.7,1.15,North Carolina,USA,SAC,5029650.0,5.02965
413,Justise Winslow,79.0,10.433333333333332,5.333333333333333,3.4,Duke,USA,MIA,13000000.0,13.0
418,Karl-Anthony Towns,84.0,23.600000000000005,12.333333333333334,2.8333333333333335,Kentucky,USA,MIN,29430000.0,29.43
419,Kawhi Leonard,79.0,22.766666666666666,5.933333333333334,3.033333333333333,San Diego State,USA,TOR,34379100.0,34.3791
422,Kelly Olynyk,84.0,10.166666666666666,5.066666666666666,2.1666666666666665,Gonzaga,Canada,BOS,12198243.0,12.198243
423,Kelly Oubre Jr.,79.0,11.1,4.166666666666667,1.0,Kansas,USA,WAS,14375000.0,14.375
424,Kemba Walker,73.0,23.633333333333336,3.8000000000000003,5.666666666666667,Connecticut,USA,CHA,34379100.0,34.3791
427,Kenrich Williams,79.0,6.1,4.8,1.8,None,USA,NOP,2000000.0,2.0
428,Kent Bazemore,77.0,11.833333333333334,3.6333333333333333,2.733333333333333,Old Dominion,USA,ATL,2320044.0,2.320044
429,Kentavious Caldwell-Pope,77.0,12.866666666666667,3.8000000000000003,2.0,Georgia,USA,LAL,12073020.0,12.07302
430,Kevin Durant,81.0,25.833333333333332,7.166666666666667,5.366666666666667,Texas,USA,GSW,39058950.0,39.05895
431,Kevin Huerter,79.0,9.7,3.3,2.9,Maryland,USA,ATL,2761920.0,2.76192
433,Kevin Love,82.0,17.866666666666667,10.433333333333335,1.9333333333333336,UCLA,USA,CLE,31300000.0,31.3
435,Kevon Looney,81.0,4.266666666666667,3.6,0.8666666666666667,UCLA,USA,GSW,4821429.0,4.821429
436,Khem Birch,81.0,4.5,4.05,0.8,UNLV,Canada,ORL,3425463.0,3.425463
438,Khris Middleton,80.0,17.700000000000003,5.133333333333333,3.9000000000000004,Texas A&M,USA,MIL,33051724.0,33.051724
439,Khyri Thomas,75.0,2.3,0.8,0.3,Creighton,USA,DET,744684.0,0.744684
440,Klay Thompson,79.0,21.266666666666666,3.766666666666667,2.3333333333333335,Washington State,USA,GSW,35361360.0,35.36136
444,Kris Dunn,76.0,9.500000000000002,3.4999999999999996,4.8,Providence,USA,CHI,4767000.0,4.767
447,Kyle Anderson,81.0,6.433333333333334,4.7,2.3333333333333335,UCLA,USA,MEM,9505100.0,9.5051
450,Kyle Kuzma,81.0,17.4,5.9,2.15,Utah,USA,LAL,3562178.0,3.562178
451,Kyle Lowry,72.33333333333333,17.599999999999998,5.066666666666666,7.533333333333334,Villanova,USA,TOR,30000000.0,30.0
453,Kyle Singler,80.0,2.3499999999999996,1.15,0.25,Duke,USA,OKC,999200.0,0.9992
455,Kyrie Irving,75.0,24.466666666666665,4.0,5.933333333333333,Duke,Australia,BOS,33329100.0,33.3291
456,LaMarcus Aldridge,83.0,20.566666666666666,8.333333333333334,2.1,Texas,USA,SAS,19078340.0,19.07834
461,Landry Shamet,77.0,9.1,1.7,1.5,Wichita State,USA,LAC,2090040.0,2.09004
462,Langston Galloway,74.0,7.5,1.9333333333333336,1.1333333333333335,None,USA,DET,2028594.0,2.028594
464,Larry Nance Jr.,81.0,8.4,6.966666666666666,1.9666666666666668,Wyoming,USA,LAL,11709091.0,11.709091
465,Larry Sanders,83.0,0.8,0.8,0.0,Virginia Commonwealth,USA,CLE,1865547.0,1.865547
466,Lauri Markkanen,84.0,16.95,8.25,1.2999999999999998,Arizona,Finland,CHI,6731508.0,6.731508
468,LeBron James,80.0,27.099999999999998,8.566666666666666,8.7,None,USA,CLE,39219565.0,39.219565
472,Lonzo Ball,78.0,10.05,6.1,6.300000000000001,UCLA,USA,LAL,11003782.0,11.003782
474,Lou Williams,73.0,20.033333333333335,2.6666666666666665,4.566666666666667,None,USA,HOU,8000000.0,8.0
481,Luke Kennard,77.0,8.649999999999999,2.65,1.75,Duke,USA,DET,5273826.0,5.273826
482,Luke Kornet,85.0,6.85,3.05,1.25,Vanderbilt,USA,NYK,2304878.0,2.304878
483,Luol Deng,81.0,5.566666666666666,2.8666666666666667,1.0333333333333334,Duke,United Kingdom,LAL,4990000.0,4.99
485,Malcolm Brogdon,77.0,12.933333333333332,3.533333333333333,3.5333333333333337,Virginia,USA,MIL,20700000.0,20.7
488,Malik Beasley,77.0,6.1000000000000005,1.4666666666666668,0.7333333333333334,Florida State,USA,DEN,13325895.0,13.325895
489,Malik Monk,75.0,7.800000000000001,1.45,1.5,Kentucky,USA,CHA,5345687.0,5.345687
494,Marc Gasol,85.0,16.766666666666666,7.433333333333334,4.4,None,Spain,TOR,2564753.0,2.564753
500,Marcus Morris,81.0,14.0,4.6,2.0,Kansas,USA,DET,14883721.0,14.883721
503,Marcus Smart,76.0,9.899999999999999,3.4333333333333336,4.466666666666666,Oklahoma State,USA,BOS,13446428.0,13.446428
508,Markelle Fultz,76.0,7.6499999999999995,3.4000000000000004,3.45,Washington,USA,PHI,12288697.0,12.288697
509,Markieff Morris,82.0,11.633333333333333,5.566666666666666,1.6666666666666667,Kansas,USA,WAS,2331593.0,2.331593
510,Marquese Chriss,82.0,7.033333333333334,4.333333333333333,0.7999999999999999,Washington,USA,CLE,1824003.0,1.824003
514,Marvin Bagley III,83.0,14.9,7.6,1.0,Duke,USA,SAC,8963640.0,8.96364
516,Mason Plumlee,83.0,8.433333333333332,6.433333333333334,2.8000000000000003,Duke,USA,DEN,8000000.0,8.0
520,Matthew Dellavedova,76.0,5.933333333333333,1.7333333333333332,4.1000000000000005,Saint Mary's (CA),Australia,MIL,2174318.0,2.174318
521,Maurice Harkless,81.0,8.066666666666666,3.866666666666667,1.0666666666666667,"St. John's, N.Y.",USA,POR,3623000.0,3.623
523,Maxi Kleber,83.0,6.1,3.9499999999999997,0.85,None,Germany,DAL,8250000.0,8.25
526,Meyers Leonard,85.0,4.9,3.0333333333333337,0.9,Illinois,USA,POR,9400000.0,9.4
528,Michael Carter-Williams,78.0,5.333333333333333,2.8666666666666667,2.4,Syracuse,USA,ORL,3000000.0,3.0
531,Mikal Bridges,79.0,8.3,3.2,2.1,Villanova,USA,PHX,4359000.0,4.359
532,Mike Conley,73.0,19.566666666666666,3.0666666666666664,5.6000000000000005,Ohio State,USA,MEM,34504132.0,34.504132
536,Mike Muscala,83.0,6.933333333333334,3.8333333333333335,1.2,Bucknell,USA,ATL,2283034.0,2.283034
537,Mike Scott,80.0,5.7,2.966666666666667,0.9333333333333335,Virginia,USA,WAS,5005350.0,5.00535
539,Miles Bridges,79.0,7.5,4.0,1.2,Michigan State,USA,CHA,3934320.0,3.93432
546,Mitchell Robinson,85.0,7.3,6.4,0.6,None,USA,NYK,1663861.0,1.663861
547,Mo Bamba,84.0,6.2,5.0,0.8,University of Texas at Austin,USA,ORL,5969040.0,5.96904
548,Monta Ellis,75.0,8.5,2.8,3.2,None,USA,IND,2245400.0,2.2454
549,Monte Morris,75.0,6.85,1.5499999999999998,2.95,Iowa State,USA,DEN,1663861.0,1.663861
550,Montrezl Harrell,80.0,12.233333333333334,4.766666666666667,1.3666666666666665,Louisville,USA,LAC,9258000.0,9.258
551,Moritz Wagner,83.0,4.8,2.0,0.6,Michigan,Germany,LAL,2383915.0,2.383915
554,Myles Turner,83.0,13.5,6.966666666666666,1.4000000000000001,Texas,USA,IND,18000000.0,18.0
557,Nemanja Bjelica,82.0,7.533333333333334,4.566666666666666,1.4666666666666668,None,Serbia,MIN,7150000.0,7.15
559,Nerlens Noel,83.0,6.0,5.199999999999999,0.7666666666666666,Kentucky,USA,DAL,5000000.0,5.0
