,player_name,height (in),pts,reb,ast,college,country,team,2020-21
142,Daniel Theis,80.5,5.5,3.8499999999999996,0.95,None,Germany,BOS,"$5,000,000 "
143,Danilo Gallinari,82.0,17.766666666666666,5.366666666666666,2.233333333333333,None,Italy,LAC,"$19,500,000 "
144,Danny Green,78.0,8.733333333333333,3.633333333333333,1.6666666666666667,North Carolina,USA,TOR,"$15,365,854 "
146,Dante Exum,78.0,7.066666666666666,1.8333333333333333,2.466666666666667,None,Australia,UTA,"$9,600,000 "
147,Danuel House,79.0,0.0,1.0,0.0,Texas A&M,USA,WAS,"$3,717,000 "
150,Darius Miller,80.0,8.0,1.95,1.75,Kentucky,USA,NOP,"$7,000,000 "
156,David Nwaba,76.0,6.8,3.7000000000000006,1.0999999999999999,None,USA,LAL,"$1,862,250 "
161,De'Aaron Fox,75.0,14.45,3.3,5.85,Kentucky,USA,SAC,"$8,099,627 "
162,De'Anthony Melton,76.0,5.0,2.7,3.2,USC,USA,PHX,"$7,812,500 "
163,DeAndre Jordan,83.0,11.9,14.033333333333331,1.6666666666666667,Texas A&M,USA,LAC,"$10,375,678 "
165,DeAndre' Bembry,78.0,5.433333333333334,2.9333333333333336,1.7,None,USA,ATL,"$1,737,145 "
166,DeMar DeRozan,79.0,23.833333333333332,5.033333333333333,5.1000000000000005,Southern California,USA,TOR,"$27,739,975 "
167,DeMarcus Cousins,83.0,22.833333333333332,10.700000000000001,4.533333333333333,Kentucky,USA,NOP,"$2,331,593 "
168,DeMarre Carroll,80.0,11.166666666666666,5.199999999999999,1.4333333333333333,Missouri,USA,TOR,"$6,167,887 "
170,Deandre Ayton,85.0,16.3,10.3,1.8,Arizona,Bahamas,PHX,"$10,018,200 "
171,Dejounte Murray,77.0,5.75,3.4000000000000004,2.1,Washington,USA,SAS,"$14,285,714 "
172,Delon Wright,77.0,7.433333333333333,2.733333333333333,2.766666666666667,Utah,USA,TOR,"$9,000,000 "
173,Demetrius Jackson,73.0,2.266666666666667,0.7000000000000001,0.6666666666666666,Notre Dame,USA,PHI,"$92,857 "
176,Dennis Smith Jr.,75.0,14.399999999999999,3.3499999999999996,5.0,North Carolina State,USA,DAL,"$5,686,677 "
177,Denzel Valentine,78.0,7.6499999999999995,3.8499999999999996,2.1500000000000004,Michigan State,USA,CHI,"$4,642,800 "
180,Derrick Favors,82.0,11.200000000000001,6.900000000000001,1.2,Georgia Tech,USA,UTA,"$9,258,000 "
181,Derrick Jones Jr.,79.0,5.133333333333334,2.8000000000000003,0.5,Nevada-Las Vegas,USA,PHX,"$9,268,293 "
182,Derrick Rose,75.0,14.799999999999999,2.6333333333333333,3.4,Memphis,USA,MIN,"$7,682,927 "
184,Derrick White,76.0,6.550000000000001,2.6,2.2,Colorado,USA,SAS,"$3,516,284 "
186,Devin Booker,78.0,24.53333333333333,3.9333333333333336,4.966666666666666,Kentucky,USA,PHX,"$29,430,000 "
189,Devonte' Graham,74.0,4.7,1.4,2.6,Kansas,USA,CHA,"$1,663,861 "
190,Dewayne Dedmon,84.0,8.633333333333333,7.3,1.1666666666666667,Southern California,USA,SAS,"$3,447,478 "
194,Dillon Brooks,78.0,9.25,2.4,1.25,Oregon,Canada,MEM,"$11,400,000 "
195,Dion Waiters,76.0,14.033333333333333,2.8333333333333335,3.633333333333333,Syracuse,USA,MIA,"$12,650,000 "
197,Domantas Sabonis,82.66666666666667,10.533333333333333,6.866666666666667,1.9666666666666668,Gonzaga,Lithuania,IND,"$17,187,500 "
199,Donovan Mitchell,75.0,22.15,3.9,3.95,Louisville,USA,UTA,"$5,195,501 "
200,Donte DiVincenzo,76.0,4.9,2.4,1.1,Villanova,USA,MIL,"$3,044,160 "
202,Dorian Finney-Smith,80.0,5.8999999999999995,3.7000000000000006,1.0666666666666667,Florida,USA,DAL,"$4,000,000 "
203,Doug McDermott,80.0,8.033333333333333,2.1999999999999997,0.9333333333333332,Creighton,USA,DAL,"$7,333,333 "
205,Draymond Green,79.0,9.533333333333333,7.599999999999999,7.066666666666666,Michigan State,USA,GSW,"$22,246,956 "
206,Drew Eubanks,82.0,1.8,1.5,0.3,None,USA,SAS,"$1,620,564 "
207,Duncan Robinson,80.0,3.3,1.3,0.3,Michigan,USA,MIA,"$1,663,861 "
209,Dwayne Bacon,79.0,5.3,2.2,0.9,Florida State,USA,CHA,"$1,678,854 "
211,Dwight Howard,83.0,14.300000000000002,11.466666666666667,1.0333333333333334,None,USA,ATL,"$2,564,753 "
212,Dwight Powell,83.0,8.6,4.966666666666666,1.0999999999999999,Stanford,Canada,DAL,"$10,185,185 "
215,E'Twaun Moore,76.0,11.333333333333334,2.466666666666667,2.1333333333333333,Purdue,USA,NOP,"$2,331,593 "
216,Ed Davis,82.0,5.133333333333333,7.099999999999999,0.6333333333333334,North Carolina,USA,POR,"$5,005,350 "
217,Edmond Sumner,77.5,2.45,1.0,0.2,Xavier,USA,IND,"$2,160,000 "
220,Elfrid Payton,76.0,12.033333333333331,4.733333333333333,6.766666666666667,Louisana-Lafayette,USA,NOP,"$5,760,000 "
227,Enes Kanter,83.0,14.033333333333331,9.166666666666666,1.366666666666667, ,Turkey,POR,"$5,005,350 "
228,Eric Bledsoe,73.0,18.233333333333334,4.3999999999999995,5.6000000000000005,Kentucky,USA,MIL,"$16,875,000 "
229,Eric Gordon,76.0,16.8,2.466666666666667,2.1999999999999997,Indiana,USA,HOU,"$16,869,276 "
233,Evan Fournier,79.0,16.7,3.1666666666666665,3.1666666666666665,None,France,ORL,"$17,000,000 "
236,Frank Kaminsky,84.0,10.466666666666667,3.8666666666666667,1.7,Wisconsin,USA,CHA,"$1,882,867 "
238,Frank Ntilikina,77.5,5.800000000000001,2.15,3.0,None,France,NYK,"$6,176,578 "
239,Fred VanVleet,72.0,7.5,2.033333333333333,2.966666666666667,Wichita State,USA,TOR,"$21,250,000 "
240,Furkan Korkmaz,79.0,3.7,1.5,0.7000000000000001,None,Turkey,PHI,"$1,762,796 "
241,Garrett Temple,78.0,8.0,2.6666666666666665,1.9666666666666668,Louisiana State,USA,SAC,"$4,767,000 "
242,Gary Clark,80.0,2.9,2.3,0.4,None,USA,HOU,"$2,000,000 "
243,Gary Harris,76.0,15.1,2.8333333333333335,2.6666666666666665,Michigan State,USA,DEN,"$19,160,714 "
246,Gary Trent Jr.,78.0,2.7,0.7,0.3,None,USA,POR,"$1,663,861 "
247,George Hill,75.0,11.5,2.8666666666666667,3.1,None,USA,MIL,"$9,590,602 "
249,Georges Niang,79.33333333333333,1.9666666666666668,1.0666666666666667,0.3666666666666667,Iowa State,USA,UTA,"$1,783,557 "
254,Giannis Antetokounmpo,83.0,25.833333333333332,10.433333333333334,5.366666666666667,None,Greece,MIL,"$27,528,090 "
255,Glenn Robinson III,78.33333333333333,4.8,2.2333333333333334,0.6,Michigan,USA,IND,"$930,930 "
257,Gordon Hayward,80.0,11.799999999999999,3.6333333333333333,2.3000000000000003,Butler,USA,BOS,"$28,500,000 "
258,Gorgui Dieng,83.0,7.433333333333334,5.533333333333334,1.2333333333333334,Louisville,Senegal,MIN,"$17,587,688 "
260,Grayson Allen,77.0,5.6,0.6,0.7,Duke,USA,UTA,"$2,545,320 "
263,Guerschon Yabusele,80.0,2.3499999999999996,1.4500000000000002,0.45,None,France,BOS,"$1,039,080 "
264,Hamidou Diallo,77.0,3.7,1.9,0.3,Kentucky,USA,OKC,"$1,663,861 "
265,Harrison Barnes,80.0,18.166666666666664,5.266666666666667,1.6666666666666667,North Carolina,USA,DAL,"$22,215,909 "
267,Hassan Whiteside,84.0,14.433333333333332,12.266666666666667,0.8333333333333334,Marshall,USA,MIA,"$2,320,044 "
269,Henry Ellenson,83.0,4.3999999999999995,2.6,0.5666666666666668,Marquette,USA,NYK,"$50,000 "
274,Iman Shumpert,77.0,6.466666666666666,2.9333333333333336,1.4666666666666668,Georgia Tech,USA,HOU,"$447,155 "
275,Isaac Bonga,80.0,0.9,1.1,0.7,None,Germany,LAL,"$1,663,861 "
279,Isaiah Hartenstein,84.0,1.9,1.7,0.5,None,Germany,HOU,"$1,445,697 "
284,Ish Smith,72.0,9.733333333333334,2.733333333333333,4.4,Wake Forest,USA,DET,"$6,146,341 "
286,Ivica Zubac,85.0,6.699999999999999,4.4,0.8333333333333334,None,Croatia,LAC,"$7,000,000 "
287,J.J. Barea,72.0,11.133333333333333,2.6,5.8,Northeastern,Puerto Rico,DAL,"$2,564,753 "
291,JaKarr Sampson,81.0,12.35,5.75,0.7,"St. John's, N.Y.",USA,SAC,"$1,882,867 "
292,JaMychal Green,81.0,9.533333333333333,7.266666666666666,1.0999999999999999,Alabama,USA,MEM,"$7,199,760 "
293,JaVale McGee,84.0,7.633333333333333,4.433333333333334,0.4666666666666666,Nevada-Reno,USA,GSW,"$4,200,000 "
295,Jabari Parker,80.0,15.733333333333334,5.900000000000001,2.3666666666666667,Duke,USA,MIL,"$6,916,834 "
298,Jacob Evans,78.0,1.3,0.8,0.8,Cincinnati,USA,GSW,"$2,017,320 "
301,Jae Crowder,78.0,11.833333333333334,4.666666666666667,1.7000000000000002,Marquette,USA,UTA,"$9,258,000 "
302,Jahlil Okafor,83.0,8.766666666666667,4.166666666666667,0.7666666666666666,Duke,USA,PHI,"$1,882,867 "
303,Jake Layman,81.0,3.6,1.4333333333333333,0.4333333333333333,Maryland,USA,POR,"$3,761,085 "
304,Jakob Poeltl,84.0,5.166666666666667,4.3999999999999995,0.6999999999999998,Utah,Austria,SAS,"$8,101,852 "
