,player_name,height (in),pts,reb,ast,college,country,team,2020-21 Salary ($),2020-21 Salary (Millions),Salary Range
48,Cory Joseph,75.0,7.900000000000001,3.1666666666666665,3.466666666666667,Texas,Canada,TOR,12600000.0,12.6,10M to 14.9M
49,D'Angelo Russell,77.0,17.400000000000002,3.766666666666667,5.666666666666668,Ohio State,USA,LAL,28649250.0,28.64925,> 20M
50,D.J. Augustin,72.0,9.933333333333334,2.033333333333333,3.9333333333333336,Texas,USA,ORL,6666667.0,6.6666669999999995,5M to 7.4M
51,D.J. Wilson,82.0,3.4,2.55,0.6000000000000001,Michigan,USA,MIL,4548280.0,4.54828,2.5M to 4.9M
52,Dakari Johnson,84.0,1.8,1.1,0.3,Kentucky,USA,OKC,459414.0,0.45941400000000004,< 1M
53,Damian Jones,84.0,3.0,2.1,0.43333333333333335,Vanderbilt,USA,GSW,785285.0,0.785285,< 1M
54,Damian Lillard,75.0,26.566666666666666,4.666666666666667,6.466666666666666,Weber State,USA,POR,31626953.0,31.626953000000004,
55,Damion Lee,78.0,7.8,3.35,1.15,Louisville,USA,ATL,1762796.0,1.7627959999999998,1M to 2.4M
56,Damyean Dotson,77.5,7.399999999999999,2.75,1.25,Houston,USA,NYK,2000000.0,2.0,1M to 2.4M
57,Daniel Theis,80.5,5.5,3.85,0.95,None,Germany,BOS,5000000.0,5.0,2.5M to 4.9M
58,Danilo Gallinari,82.0,17.766666666666666,5.366666666666666,2.233333333333333,None,Italy,LAC,19500000.0,19.5,15M to 19.9M
59,Danny Green,78.0,8.733333333333333,3.6333333333333333,1.6666666666666667,North Carolina,USA,TOR,15365854.0,15.365854,15M to 19.9M
60,Dante Exum,78.0,7.066666666666666,1.8333333333333333,2.466666666666667,None,Australia,UTA,9600000.0,9.6,7.5M to 9.9M
61,Danuel House,79.0,0.0,1.0,0.0,Texas A&M,USA,WAS,3717000.0,3.717,2.5M to 4.9M
62,Darius Miller,80.0,8.0,1.95,1.75,Kentucky,USA,NOP,7000000.0,7.0,5M to 7.4M
63,David Nwaba,76.0,6.8,3.7000000000000006,1.1,None,USA,LAL,1862250.0,1.86225,1M to 2.4M
64,De'Aaron Fox,75.0,14.45,3.3,5.85,Kentucky,USA,SAC,8099627.0,8.099627,7.5M to 9.9M
65,De'Anthony Melton,76.0,5.0,2.7,3.2,USC,USA,PHX,7812500.0,7.8125,7.5M to 9.9M
66,DeAndre Jordan,83.0,11.9,14.033333333333333,1.6666666666666667,Texas A&M,USA,LAC,10375678.0,10.375678,10M to 14.9M
67,DeAndre' Bembry,78.0,5.433333333333334,2.9333333333333336,1.7,None,USA,ATL,1737145.0,1.7371450000000002,1M to 2.4M
68,DeMar DeRozan,79.0,23.83333333333333,5.033333333333333,5.1000000000000005,Southern California,USA,TOR,27739975.0,27.739975,> 20M
69,DeMarcus Cousins,83.0,22.83333333333333,10.7,4.533333333333333,Kentucky,USA,NOP,2666959.0,2.666959,2.5M to 4.9M
70,DeMarre Carroll,80.0,11.166666666666664,5.199999999999998,1.4333333333333331,Missouri,USA,TOR,6167887.0,6.167887,5M to 7.4M
71,Deandre Ayton,85.0,16.3,10.3,1.8,Arizona,Bahamas,PHX,10018200.0,10.0182,10M to 14.9M
72,Dejounte Murray,77.0,5.75,3.4000000000000004,2.1,Washington,USA,SAS,14285714.0,14.285714000000002,10M to 14.9M
73,Delon Wright,77.0,7.433333333333333,2.733333333333333,2.766666666666667,Utah,USA,TOR,9000000.0,9.0,7.5M to 9.9M
74,Demetrius Jackson,73.0,2.266666666666667,0.7000000000000001,0.6666666666666666,Notre Dame,USA,PHI,92857.0,0.09285700000000001,< 1M
75,Dennis Smith Jr.,75.0,14.4,3.35,5.0,North Carolina State,USA,DAL,5686677.0,5.6866769999999995,5M to 7.4M
76,Denzel Valentine,78.0,7.649999999999999,3.85,2.1500000000000004,Michigan State,USA,CHI,4642800.0,4.6428,2.5M to 4.9M
77,Derrick Favors,82.0,11.2,6.900000000000001,1.2,Georgia Tech,USA,UTA,9258000.0,9.258,7.5M to 9.9M
78,Derrick Jones Jr.,79.0,5.133333333333334,2.8000000000000003,0.5,Nevada-Las Vegas,USA,PHX,9268293.0,9.268293,7.5M to 9.9M
79,Derrick Rose,75.0,14.8,2.6333333333333333,3.4,Memphis,USA,MIN,7682927.0,7.682927,7.5M to 9.9M
80,Derrick White,76.0,6.550000000000002,2.6,2.2,Colorado,USA,SAS,3516284.0,3.5162839999999997,2.5M to 4.9M
81,Devin Booker,78.0,24.53333333333333,3.9333333333333336,4.966666666666666,Kentucky,USA,PHX,29430000.0,29.43,> 20M
82,Devonte' Graham,74.0,4.7,1.4,2.6,Kansas,USA,CHA,1663861.0,1.663861,1M to 2.4M
83,Dewayne Dedmon,84.0,8.633333333333333,7.3,1.1666666666666667,Southern California,USA,SAS,3447478.0,3.447478,2.5M to 4.9M
