,season,player_name,height (in),pts,reb,ast,college,country,team
11,2018-19,Abdel Nader,78.0,4.0,1.9,0.3,Iowa State,Egypt,OKC
12,2017-18,Adreian Payne,82.0,4.2,1.8,0.0,Michigan State,USA,ORL
13,2016-17,Adreian Payne,82.0,3.5,1.8,0.4,Michigan State,USA,MIN
14,2016-17,Al Horford,82.0,14.0,6.8,5.0,Florida,Dominican Republic,BOS
15,2018-19,Al Horford,82.0,13.6,6.7,4.2,Florida,Dominican Republic,BOS
16,2017-18,Al Horford,82.0,12.9,7.4,4.7,Florida,Dominican Republic,BOS
17,2017-18,Al Jefferson,82.0,7.0,4.0,0.8,None,USA,IND
18,2016-17,Al Jefferson,82.0,8.1,4.2,0.9,None,USA,IND
19,2017-18,Al-Farouq Aminu,81.0,9.3,7.6,1.2,Wake Forest,USA,POR
20,2016-17,Al-Farouq Aminu,81.0,8.7,7.4,1.6,Wake Forest,USA,POR
21,2018-19,Al-Farouq Aminu,81.0,9.4,7.5,1.3,Wake Forest,USA,POR
22,2016-17,Alan Anderson,78.0,2.9,0.8,0.4,Michigan State,USA,LAC
23,2018-19,Alan Williams,80.0,3.6,3.8,0.6,Cal-Santa Barbara,USA,BKN
24,2017-18,Alan Williams,80.0,4.0,4.4,1.6,Cal-Santa Barbara,USA,PHX
25,2016-17,Alan Williams,80.0,7.4,6.2,0.5,California-Santa Barbara,USA,PHX
26,2018-19,Alec Burks,78.0,8.8,3.7,2.0,Colorado,USA,SAC
27,2017-18,Alec Burks,78.0,7.7,3.0,1.0,Colorado,USA,UTA
28,2016-17,Alec Burks,78.0,6.7,2.9,0.7,Colorado,USA,UTA
29,2017-18,Alec Peters,81.0,4.1,1.9,0.6,Valparaiso,USA,PHX
30,2018-19,Alex Abrines,78.0,5.3,1.5,0.6,None,Spain,OKC
31,2017-18,Alex Abrines,78.0,4.7,1.5,0.4,None,Spain,OKC
32,2016-17,Alex Abrines,78.0,6.0,1.3,0.6,None,Spain,OKC
33,2018-19,Alex Caruso,77.0,9.2,2.7,3.1,Texas A&M,USA,LAL
34,2017-18,Alex Caruso,77.0,3.6,1.8,2.0,Texas A&M,USA,LAL
35,2018-19,Alex Len,85.0,11.1,5.5,1.1,Maryland,Ukraine,ATL
36,2017-18,Alex Len,85.0,8.5,7.5,1.2,Maryland,Ukraine,PHX
37,2016-17,Alex Len,85.0,8.0,6.6,0.6,Maryland,Ukraine,PHX
38,2018-19,Alex Poythress,81.0,5.1,3.6,0.8,Kentucky,USA,ATL
39,2017-18,Alex Poythress,81.0,1.0,0.7,0.1,Kentucky,USA,IND
40,2016-17,Alex Poythress,79.0,10.7,4.8,0.8,Kentucky,USA,PHI
41,2016-17,Alexis Ajinca,86.0,5.3,4.5,0.3,None,France,NOP
42,2017-18,Alfonzo McKinnie,80.0,1.5,0.5,0.1,None,USA,TOR
43,2018-19,Alfonzo McKinnie,80.0,4.7,3.4,0.4,None,USA,GSW
44,2018-19,Alize Johnson,81.0,0.9,1.4,0.1,Missouri State,USA,IND
45,2016-17,Allen Crabbe,78.0,10.7,2.9,1.2,California,USA,POR
46,2017-18,Allen Crabbe,78.0,13.2,4.3,1.6,California,USA,BKN
47,2018-19,Allen Crabbe,78.0,9.6,3.4,1.1,California,USA,BKN
48,2018-19,Allonzo Trier,77.0,10.9,3.1,1.9,Arizona,USA,NYK
49,2016-17,Alonzo Gee,78.0,0.8,1.2,0.5,Alabama,USA,DEN
50,2018-19,Amile Jefferson,81.0,2.3,1.8,0.3,Duke,USA,ORL
51,2016-17,Amir Johnson,81.0,6.5,4.6,1.8,None,USA,BOS
52,2018-19,Amir Johnson,81.0,3.9,2.9,1.2,None,USA,PHI
53,2017-18,Amir Johnson,81.0,4.6,4.5,1.6,None,USA,PHI
54,2016-17,Anderson Varejao,83.0,1.3,1.9,0.7,None,Brazil,GSW
55,2018-19,Andre Drummond,83.0,17.3,15.6,1.4,Connecticut,USA,DET
56,2016-17,Andre Drummond,83.0,13.6,13.8,1.1,Connecticut,USA,DET
57,2017-18,Andre Drummond,83.0,15.0,16.0,3.0,Connecticut,USA,DET
58,2017-18,Andre Iguodala,78.0,6.0,3.8,3.3,Arizona,USA,GSW
59,2016-17,Andre Iguodala,78.0,7.6,4.0,3.4,Arizona,USA,GSW
60,2018-19,Andre Iguodala,78.0,5.7,3.7,3.2,Arizona,USA,GSW
61,2018-19,Andre Ingram,75.0,0.0,0.5,0.0,American University,USA,LAL
62,2017-18,Andre Ingram,75.0,12.0,3.0,3.5,American University,USA,LAL
63,2016-17,Andre Roberson,79.0,6.6,5.1,1.0,Colorado,USA,OKC
64,2017-18,Andre Roberson,79.0,5.0,4.7,1.2,Colorado,USA,OKC
65,2018-19,Andrew Bogut,84.0,3.5,5.0,1.0,Utah,Australia,GSW
66,2017-18,Andrew Bogut,84.0,1.5,3.3,0.6,Utah,Australia,LAL
67,2016-17,Andrew Bogut,84.0,2.9,8.1,1.8,Utah,Australia,CLE
68,2018-19,Andrew Harrison,78.0,3.2,1.2,1.4,Kentucky,USA,NOP
69,2016-17,Andrew Harrison,78.0,5.9,1.9,2.8,Kentucky,USA,MEM
70,2017-18,Andrew Harrison,78.0,9.5,2.3,3.2,Kentucky,USA,MEM
71,2016-17,Andrew Nicholson,81.0,2.6,1.6,0.3,St. Bonaventure,Canada,BKN
72,2017-18,Andrew White III,79.0,4.6,2.3,0.4,Syracuse,USA,ATL
73,2018-19,Andrew Wiggins,80.0,18.1,4.8,2.5,Kansas,Canada,MIN
74,2017-18,Andrew Wiggins,80.0,17.7,4.4,2.0,Kansas,Canada,MIN
75,2016-17,Andrew Wiggins,80.0,23.6,4.0,2.3,Kansas,Canada,MIN
76,2018-19,Anfernee Simons,76.0,3.8,0.7,0.7,None,USA,POR
77,2018-19,Angel Delgado,82.0,1.5,2.0,0.0,None,Dominican Republic,LAC
78,2018-19,Ante Zizic,83.0,7.8,5.4,0.9,None,Croatia,CLE
79,2017-18,Ante Zizic,83.0,3.7,1.9,0.2,None,Croatia,CLE
80,2016-17,Anthony Bennett,80.0,5.0,3.4,0.5,Nevada-Las Vegas,Canada,BKN
81,2017-18,Anthony Brown,79.0,3.0,0.0,1.0,Stanford,USA,MIN
82,2016-17,Anthony Brown,79.0,3.9,3.0,0.7,Stanford,USA,ORL
83,2018-19,Anthony Davis,82.0,25.9,12.0,3.9,Kentucky,USA,NOP
84,2016-17,Anthony Davis,83.0,28.0,11.8,2.1,Kentucky,USA,NOP
85,2017-18,Anthony Davis,82.0,28.1,11.1,2.3,Kentucky,USA,NOP
86,2016-17,Anthony Morrow,77.0,5.5,0.6,0.5,Georgia Tech,USA,CHI
87,2017-18,Anthony Tolliver,80.0,8.9,3.1,1.1,Creighton,USA,DET
88,2018-19,Anthony Tolliver,80.0,5.0,2.7,0.7,Creighton,USA,MIN
89,2016-17,Anthony Tolliver,80.0,7.1,3.6,1.2,Creighton,USA,SAC
90,2018-19,Antonio Blakeney,76.0,7.3,1.9,0.7,Louisiana State,USA,CHI
91,2017-18,Antonio Blakeney,76.0,7.9,1.7,1.1,Louisiana State,USA,CHI
92,2017-18,Antonius Cleveland,78.0,1.4,0.8,0.1,S.E. Missouri,USA,ATL
93,2016-17,Archie Goodwin,77.0,7.3,1.9,1.6,Kentucky,USA,BKN
94,2016-17,Arinze Onuaku,81.0,0.5,0.8,0.3,Syracuse,USA,ORL
95,2018-19,Aron Baynes,82.0,5.6,4.7,1.1,Washington State,Australia,BOS
96,2017-18,Aron Baynes,82.0,6.0,5.4,1.1,Washington State,Australia,BOS
97,2016-17,Aron Baynes,82.0,4.9,4.4,0.4,Washington State,Australia,DET
98,2017-18,Arron Afflalo,77.0,3.4,1.2,0.6,UCLA,USA,ORL
99,2016-17,Arron Afflalo,77.0,8.4,2.0,1.3,UCLA,USA,SAC
100,2018-19,Austin Rivers,76.0,8.1,2.1,2.2,Duke,USA,HOU
101,2017-18,Austin Rivers,76.0,15.1,2.4,4.0,Duke,USA,LAC
102,2016-17,Austin Rivers,76.0,12.0,2.2,2.8,Duke,USA,LAC
103,2017-18,Avery Bradley,74.0,14.3,2.5,2.0,Texas,USA,LAC
104,2018-19,Avery Bradley,74.0,9.9,2.8,2.4,Texas,USA,MEM
105,2016-17,Avery Bradley,74.0,16.3,6.1,2.2,Texas,USA,BOS
106,2016-17,Axel Toupane,79.0,2.8,0.3,0.0,None,France,NOP
107,2018-19,BJ Johnson,79.0,3.3,1.1,0.0,None,USA,SAC
108,2018-19,Bam Adebayo,82.0,8.9,7.3,2.2,Kentucky,USA,MIA
109,2017-18,Bam Adebayo,82.0,6.9,5.5,1.5,Kentucky,USA,MIA
110,2016-17,Ben Bentil,81.0,0.0,0.7,0.0,Providence,Ghana,DAL
111,2018-19,Ben McLemore,77.0,3.9,0.9,0.2,Kansas,USA,SAC
112,2017-18,Ben McLemore,77.0,7.5,2.5,0.9,Kansas,USA,MEM
113,2016-17,Ben McLemore,77.0,8.1,2.1,0.8,Kansas,USA,SAC
114,2017-18,Ben Moore,80.0,0.0,0.5,0.5,Southern Methodist,USA,IND
115,2018-19,Ben Simmons,82.0,16.9,8.8,7.7,Louisiana State,Australia,PHI
116,2017-18,Ben Simmons,82.0,15.8,8.1,8.2,Louisiana State,Australia,PHI
117,2016-17,Beno Udrih,75.0,5.8,1.5,3.4,None,Slovenia,DET
118,2018-19,Billy Garrett,78.0,6.5,0.8,1.8,DePaul,USA,NYK
119,2016-17,Bismack Biyombo,81.0,6.0,7.0,0.9,None,Democratic Republic of the Congo,ORL
120,2018-19,Bismack Biyombo,81.0,4.4,4.6,0.6,None,Democratic Republic of the Congo,CHA
121,2017-18,Bismack Biyombo,81.0,5.7,5.7,0.8,None,Democratic Republic of the Congo,ORL
122,2016-17,Blake Griffin,82.0,21.6,8.1,4.9,Oklahoma,USA,LAC
123,2018-19,Blake Griffin,82.0,24.5,7.5,5.4,Oklahoma,USA,DET
124,2017-18,Blake Griffin,82.0,21.4,7.4,5.8,Oklahoma,USA,DET
125,2017-18,Boban Marjanovic,87.0,6.0,3.7,0.6,None,Serbia,LAC
126,2016-17,Boban Marjanovic,87.0,5.5,3.7,0.3,None,Serbia,DET
127,2018-19,Boban Marjanovic,87.0,7.3,4.6,0.9,None,Serbia,PHI
128,2016-17,Bobby Brown,74.0,2.5,0.2,0.6,Cal State-Fullerton,USA,HOU
129,2017-18,Bobby Brown,74.0,2.5,0.4,0.6,Cal State-Fullerton,USA,HOU
130,2016-17,Bobby Portis,83.0,6.8,4.6,0.5,Arkansas,USA,CHI
131,2017-18,Bobby Portis,83.0,13.2,6.8,1.7,Arkansas,USA,CHI
132,2018-19,Bobby Portis,83.0,14.2,8.1,1.4,Arkansas,USA,WAS
133,2017-18,Bogdan Bogdanovic,78.0,11.8,2.9,3.3,None,Serbia,SAC
134,2018-19,Bogdan Bogdanovic,78.0,14.1,3.5,3.8,None,Serbia,SAC
135,2016-17,Bojan Bogdanovic,80.0,13.7,3.4,1.4,None,Croatia,WAS
136,2018-19,Bojan Bogdanovic,80.0,18.0,4.1,2.0,None,Croatia,IND
137,2017-18,Bojan Bogdanovic,80.0,14.3,3.4,1.5,None,Croatia,IND
138,2018-19,Bonzie Colson,78.0,4.9,3.8,0.4,Notre Dame,USA,MIL
139,2016-17,Boris Diaw,80.0,4.6,2.2,2.3,None,France,UTA
140,2018-19,Brad Wanamaker,76.0,3.9,1.1,1.6,Pittsburgh,USA,BOS
141,2016-17,Bradley Beal,77.0,23.1,3.1,3.5,Florida,USA,WAS
142,2017-18,Bradley Beal,77.0,22.6,4.4,4.5,Florida,USA,WAS
143,2018-19,Bradley Beal,77.0,25.6,5.0,5.5,Florida,USA,WAS
144,2016-17,Brandan Wright,82.0,6.8,2.8,0.5,North Carolina,USA,MEM
145,2017-18,Brandan Wright,82.0,5.0,3.4,0.5,North Carolina,USA,MEM
146,2016-17,Brandon Bass,80.0,5.6,2.5,0.4,Louisiana State,USA,LAC
147,2018-19,Brandon Goodwin,74.0,1.4,0.2,0.9,None,USA,DEN
148,2017-18,Brandon Ingram,81.0,16.1,5.3,3.9,Duke,USA,LAL
149,2018-19,Brandon Ingram,81.0,18.3,5.1,3.0,Duke,USA,LAL
150,2016-17,Brandon Ingram,81.0,9.4,4.0,2.1,Duke,USA,LAL
151,2017-18,Brandon Jennings,73.0,5.2,2.2,3.1,None,USA,MIL
152,2016-17,Brandon Jennings,73.0,7.1,2.4,4.9,None,USA,WAS
153,2018-19,Brandon Knight,75.0,6.8,1.5,1.8,Kentucky,USA,CLE
154,2016-17,Brandon Knight,75.0,11.0,2.2,2.4,Kentucky,USA,PHX
155,2017-18,Brandon Paul,76.0,2.3,1.1,0.6,None,USA,SAS
156,2016-17,Brandon Rush,78.0,4.2,2.1,1.0,Kansas,USA,MIN
157,2018-19,Brandon Sampson,77.0,5.1,1.1,0.7,None,USA,CHI
158,2016-17,Brian Roberts,73.0,3.5,1.0,1.3,Dayton,USA,CHA
159,2017-18,Briante Weber,74.0,2.8,1.9,1.2,Virginia Commonwealth,USA,MEM
160,2016-17,Briante Weber,74.0,3.1,1.3,1.1,Virginia Commonwealth,USA,CHA
161,2016-17,Brice Johnson,82.0,1.3,1.0,0.3,North Carolina,USA,LAC
162,2017-18,Brice Johnson,82.0,2.4,1.7,0.1,North Carolina,USA,LAC
163,2016-17,Brook Lopez,84.0,20.5,5.4,2.3,Stanford,USA,BKN
164,2017-18,Brook Lopez,84.0,13.0,4.0,1.7,Stanford,USA,LAL
165,2018-19,Brook Lopez,84.0,12.5,4.9,1.2,Stanford,USA,MIL
166,2018-19,Bruce Brown,77.0,4.3,2.5,1.2,Miami,USA,DET
167,2017-18,Bruno Caboclo,81.0,2.2,1.8,0.3,None,Brazil,SAC
168,2016-17,Bruno Caboclo,81.0,1.6,1.1,0.4,None,Brazil,TOR
169,2018-19,Bruno Caboclo,81.0,8.3,4.6,1.5,None,Brazil,MEM
170,2018-19,Bryn Forbes,75.0,11.8,2.9,2.1,Michigan State,USA,SAS
171,2016-17,Bryn Forbes,75.0,2.6,0.6,0.6,Michigan State,USA,SAS
172,2017-18,Bryn Forbes,75.0,6.9,1.4,1.0,Michigan State,USA,SAS
173,2016-17,Buddy Hield,76.0,10.6,3.3,1.5,Oklahoma,Bahamas,SAC
174,2017-18,Buddy Hield,76.0,13.5,3.8,1.9,Oklahoma,Bahamas,SAC
175,2018-19,Buddy Hield,76.0,20.7,5.0,2.5,Oklahoma,Bahamas,SAC
176,2016-17,C.J. Watson,74.0,4.5,1.4,1.8,Tennessee,USA,ORL
177,2017-18,C.J. Williams,77.0,5.5,1.5,1.1,North Carolina State,USA,LAC
178,2018-19,C.J. Williams,77.0,2.6,0.5,0.8,North Carolina State,USA,MIN
179,2017-18,CJ McCollum,75.0,21.4,4.0,3.4,Lehigh,USA,POR
180,2016-17,CJ McCollum,75.0,23.0,3.6,3.6,Lehigh,USA,POR
181,2018-19,CJ McCollum,75.0,21.0,4.0,3.0,Lehigh,USA,POR
182,2017-18,CJ Miles,78.0,10.0,2.2,0.8,None,USA,TOR
183,2016-17,CJ Miles,78.0,10.7,3.0,0.6,None,USA,IND
184,2018-19,CJ Miles,78.0,6.4,1.8,0.7,None,USA,MEM
185,2016-17,CJ Wilcox,77.0,1.0,0.5,0.5,Washington,USA,ORL
186,2018-19,Caleb Swanigan,81.0,2.0,3.0,0.5,Purdue,USA,SAC
187,2017-18,Caleb Swanigan,80.0,2.3,2.0,0.5,Purdue,USA,POR
188,2018-19,Cameron Payne,75.0,6.3,1.8,2.7,Murray State,USA,CLE
189,2017-18,Cameron Payne,75.0,8.8,2.8,4.5,Murray State,USA,CHI
190,2016-17,Cameron Payne,75.0,5.2,1.5,1.8,Murray State,USA,CHI
191,2018-19,Cameron Reynolds,80.0,5.0,1.6,0.7,None,USA,MIN
192,2017-18,Caris LeVert,79.0,12.1,3.7,4.2,Michigan,USA,BKN
193,2018-19,Caris LeVert,79.0,13.7,3.8,3.9,Michigan,USA,BKN
194,2016-17,Caris LeVert,79.0,8.2,3.3,1.9,Michigan,USA,BKN
195,2018-19,Carmelo Anthony,80.0,13.4,5.4,0.5,Syracuse,USA,HOU
196,2016-17,Carmelo Anthony,80.0,22.4,5.9,2.9,Syracuse,USA,NYK
197,2017-18,Carmelo Anthony,80.0,16.2,5.8,1.3,Syracuse,USA,OKC
198,2018-19,Cedi Osman,80.0,13.0,4.7,2.6,None,Turkey,CLE
199,2017-18,Cedi Osman,80.0,3.9,2.0,0.7,None,Turkey,CLE
200,2018-19,Chandler Hutchison,79.0,5.2,4.2,0.8,Boise State,USA,CHI
201,2018-19,Chandler Parsons,82.0,7.5,2.8,1.7,Florida,USA,MEM
202,2016-17,Chandler Parsons,82.0,6.2,2.5,1.6,Florida,USA,MEM
203,2017-18,Chandler Parsons,82.0,7.9,2.5,1.9,Florida,USA,MEM
204,2017-18,Channing Frye,83.0,5.0,2.5,0.7,Arizona,USA,LAL
205,2018-19,Channing Frye,84.0,3.6,1.4,0.6,Arizona,USA,CLE
206,2016-17,Channing Frye,83.0,9.1,3.9,0.6,Arizona,USA,CLE
207,2017-18,Charles Cooke,77.0,0.5,0.2,0.1,University of Dayton,USA,NOP
208,2018-19,Chasson Randle,74.0,5.5,1.1,2.0,Stanford,USA,WAS
209,2016-17,Chasson Randle,74.0,5.3,1.2,1.3,Stanford,USA,NYK
210,2017-18,Cheick Diallo,81.0,4.9,4.1,0.4,Kansas,Mali,NOP
211,2018-19,Cheick Diallo,81.0,6.0,5.2,0.5,Kansas,Mali,NOP
212,2016-17,Cheick Diallo,81.0,5.1,4.3,0.2,Kansas,Mali,NOP
213,2018-19,Chimezie Metu,82.0,1.8,1.2,0.4,USC,USA,SAS
214,2017-18,Chinanu Onuaku,82.0,4.0,4.0,1.0,Louisville,USA,HOU
215,2016-17,Chinanu Onuaku,82.0,2.8,2.0,0.6,Louisville,USA,HOU
216,2016-17,Chris Andersen,82.0,2.3,2.6,0.4,Blinn,USA,CLE
217,2017-18,Chris Boucher,82.0,0.0,1.0,0.0,Oregon,Canada,GSW
218,2018-19,Chris Boucher,82.0,3.3,2.0,0.1,Oregon,Canada,TOR
219,2018-19,Chris Chiozza,72.0,0.9,0.6,0.6,None,USA,HOU
220,2017-18,Chris McCullough,81.0,2.4,1.3,0.2,Syracuse,USA,WAS
221,2016-17,Chris McCullough,81.0,2.3,1.2,0.1,Syracuse,USA,WAS
222,2016-17,Chris Paul,72.0,18.1,5.0,9.2,Wake Forest,USA,LAC
223,2017-18,Chris Paul,72.0,18.6,5.4,7.9,Wake Forest,USA,HOU
224,2018-19,Chris Paul,72.0,15.6,4.6,8.2,Wake Forest,USA,HOU
225,2016-17,Christian Wood,83.0,2.7,2.2,0.2,Nevada-Las Vegas,USA,CHA
226,2018-19,Christian Wood,82.0,8.2,4.0,0.4,UNLV,USA,NOP
227,2016-17,Clint Capela,82.0,12.6,8.1,1.0,None,Switzerland,HOU
228,2017-18,Clint Capela,82.0,13.9,10.8,0.9,None,Switzerland,HOU
229,2018-19,Clint Capela,82.0,16.6,12.7,1.4,None,Switzerland,HOU
230,2017-18,Cody Zeller,84.0,7.1,5.4,0.9,Indiana,USA,CHA
231,2018-19,Cody Zeller,84.0,10.1,6.8,2.1,Indiana,USA,CHA
232,2016-17,Cody Zeller,84.0,10.3,6.5,1.6,Indiana,USA,CHA
233,2017-18,Cole Aldrich,83.0,0.6,0.7,0.1,Kansas,USA,MIN
234,2016-17,Cole Aldrich,83.0,1.7,2.5,0.4,Kansas,USA,MIN
235,2018-19,Collin Sexton,74.0,16.7,2.9,3.0,Alabama,USA,CLE
236,2018-19,Corey Brewer,81.0,4.9,2.5,1.3,Florida,USA,SAC
237,2017-18,Corey Brewer,81.0,5.3,2.1,0.9,Florida,USA,OKC
238,2016-17,Corey Brewer,81.0,4.5,2.0,1.2,Florida,USA,LAL
239,2016-17,Cory Joseph,75.0,9.3,2.9,3.3,Texas,Canada,TOR
240,2017-18,Cory Joseph,75.0,7.9,3.2,3.2,Texas,Canada,IND
241,2018-19,Cory Joseph,75.0,6.5,3.4,3.9,Texas,Canada,IND
242,2017-18,Courtney Lee,77.0,12.0,2.9,2.4,Western Kentucky,USA,NYK
243,2018-19,Courtney Lee,77.0,4.0,1.6,1.1,Western Kentucky,USA,DAL
244,2016-17,Courtney Lee,77.0,10.8,3.4,2.3,Western Kentucky,USA,NYK
245,2016-17,Cristiano Felicio,81.0,4.8,4.7,0.6,None,Brazil,CHI
246,2017-18,Cristiano Felicio,81.0,5.6,4.2,1.0,None,Brazil,CHI
247,2018-19,Cristiano Felicio,82.0,4.0,3.6,0.6,None,Brazil,CHI
248,2016-17,D'Angelo Russell,77.0,15.6,3.5,4.8,Ohio State,USA,LAL
249,2017-18,D'Angelo Russell,77.0,15.5,3.9,5.2,Ohio State,USA,BKN
250,2018-19,D'Angelo Russell,77.0,21.1,3.9,7.0,Ohio State,USA,BKN
251,2016-17,D.J. Augustin,72.0,7.9,1.5,2.7,Texas,USA,ORL
252,2018-19,D.J. Augustin,72.0,11.7,2.5,5.3,Texas,USA,ORL
253,2017-18,D.J. Augustin,72.0,10.2,2.1,3.8,Texas,USA,ORL
254,2017-18,D.J. Wilson,82.0,1.0,0.5,0.1,Michigan,USA,MIL
255,2018-19,D.J. Wilson,82.0,5.8,4.6,1.1,Michigan,USA,MIL
256,2018-19,DJ Stephens,77.0,2.0,0.0,0.0,Memphis,USA,MEM
257,2016-17,Dahntay Jones,78.0,9.0,2.0,1.0,Duke,USA,CLE
258,2018-19,Dairis Bertans,76.0,2.8,0.8,0.8,None,Latvia,NOP
259,2017-18,Dakari Johnson,84.0,1.8,1.1,0.3,Kentucky,USA,OKC
260,2017-18,Damian Jones,84.0,1.7,0.9,0.1,Vanderbilt,USA,GSW
261,2016-17,Damian Jones,84.0,1.9,2.3,0.0,Vanderbilt,USA,GSW
262,2018-19,Damian Jones,84.0,5.4,3.1,1.2,Vanderbilt,USA,GSW
263,2017-18,Damian Lillard,75.0,26.9,4.5,6.6,Weber State,USA,POR
264,2016-17,Damian Lillard,75.0,27.0,4.9,5.9,Weber State,USA,POR
265,2018-19,Damian Lillard,75.0,25.8,4.6,6.9,Weber State,USA,POR
266,2017-18,Damien Wilkins,78.0,1.7,0.8,0.5,Georgia,USA,IND
267,2017-18,Damion Lee,78.0,10.7,4.7,1.9,Louisville,USA,ATL
268,2018-19,Damion Lee,78.0,4.9,2.0,0.4,Louisville,USA,GSW
269,2016-17,Damjan Rudez,82.0,1.8,0.6,0.4,None,Croatia,ORL
270,2018-19,Damyean Dotson,78.0,10.7,3.6,1.8,Houston,USA,NYK
271,2017-18,Damyean Dotson,77.0,4.1,1.9,0.7,Houston,USA,NYK
272,2017-18,Daniel Hamilton,79.0,2.0,0.8,1.3,Connecticut,USA,OKC
273,2018-19,Daniel Hamilton,79.0,3.0,2.5,1.2,Connecticut,USA,ATL
274,2016-17,Daniel Ochefu,83.0,1.3,1.2,0.2,Villanova,USA,WAS
275,2018-19,Daniel Theis,80.0,5.7,3.4,1.0,None,Germany,BOS
276,2017-18,Daniel Theis,81.0,5.3,4.3,0.9,None,Germany,BOS
277,2018-19,Danilo Gallinari,82.0,19.8,6.1,2.6,None,Italy,LAC
278,2017-18,Danilo Gallinari,82.0,15.3,4.8,2.0,None,Italy,LAC
279,2016-17,Danilo Gallinari,82.0,18.2,5.2,2.1,None,Italy,DEN
280,2018-19,Danny Green,78.0,10.3,4.0,1.6,North Carolina,USA,TOR
281,2017-18,Danny Green,78.0,8.6,3.6,1.6,North Carolina,USA,SAS
282,2016-17,Danny Green,78.0,7.3,3.3,1.8,North Carolina,USA,SAS
283,2018-19,Dante Cunningham,80.0,3.0,2.9,0.8,Villanova,USA,SAS
284,2017-18,Dante Cunningham,80.0,5.7,4.1,0.7,Villanova,USA,BKN
285,2016-17,Dante Cunningham,80.0,6.6,4.2,0.6,Villanova,USA,NOP
286,2017-18,Dante Exum,78.0,8.1,1.9,3.1,None,Australia,UTA
287,2018-19,Dante Exum,78.0,6.9,1.6,2.6,None,Australia,UTA
288,2016-17,Dante Exum,78.0,6.2,2.0,1.7,None,Australia,UTA
289,2016-17,Danuel House,79.0,0.0,1.0,0.0,Texas A&M,USA,WAS
290,2018-19,Danuel House Jr.,79.0,9.4,3.6,1.0,Texas A&M,USA,HOU
291,2017-18,Danuel House Jr.,79.0,6.6,3.3,1.1,Texas A&M,USA,PHX
292,2017-18,Dario Saric,82.0,14.6,6.7,2.6,None,Croatia,PHI
293,2018-19,Dario Saric,82.0,10.6,5.6,1.6,None,Croatia,MIN
294,2016-17,Dario Saric,82.0,12.8,6.3,2.2,None,Croatia,PHI
295,2018-19,Darius Miller,80.0,8.2,1.9,2.1,Kentucky,USA,NOP
296,2017-18,Darius Miller,80.0,7.8,2.0,1.4,Kentucky,USA,NOP
297,2016-17,Darrell Arthur,81.0,6.4,2.7,1.0,Kansas,USA,DEN
298,2017-18,Darrell Arthur,81.0,2.8,0.8,0.5,Kansas,USA,DEN
299,2017-18,Darren Collison,74.0,12.4,2.6,5.3,UCLA,USA,IND
300,2018-19,Darren Collison,72.0,11.2,3.1,6.0,UCLA,USA,IND
301,2016-17,Darren Collison,72.0,13.2,2.2,4.6,UCLA,USA,SAC
302,2017-18,Darrun Hilliard,78.0,1.1,0.5,0.8,Villanova,USA,SAS
303,2016-17,Darrun Hilliard,78.0,3.3,0.8,0.8,Villanova,USA,DET
304,2018-19,Daryl Macon,75.0,3.6,1.5,0.9,Arkansas,USA,DAL
305,2016-17,David Lee,81.0,7.3,5.6,1.6,Florida,USA,SAS
306,2016-17,David Nwaba,76.0,6.0,3.2,0.7,None,USA,LAL
307,2018-19,David Nwaba,76.0,6.5,3.2,1.1,None,USA,CLE
308,2017-18,David Nwaba,76.0,7.9,4.7,1.5,None,USA,CHI
309,2017-18,David Stockton,71.0,3.3,0.0,0.0,Gonzaga,USA,UTA
310,2016-17,David West,81.0,4.6,3.0,2.2,Xavier,USA,GSW
311,2017-18,David West,81.0,6.8,3.3,1.9,Xavier,USA,GSW
312,2016-17,Davis Bertans,82.0,4.5,1.5,0.7,None,Latvia,SAS
313,2018-19,Davis Bertans,82.0,8.0,3.5,1.3,None,Latvia,SAS
314,2017-18,Davis Bertans,82.0,5.9,2.0,1.0,None,Latvia,SAS
315,2017-18,Davon Reed,78.0,3.0,1.9,0.6,Miami,USA,PHX
316,2018-19,Davon Reed,77.0,1.2,0.6,0.3,Miami,USA,IND
317,2017-18,De'Aaron Fox,75.0,11.6,2.8,4.4,Kentucky,USA,SAC
318,2018-19,De'Aaron Fox,75.0,17.3,3.8,7.3,Kentucky,USA,SAC
319,2018-19,De'Anthony Melton,76.0,5.0,2.7,3.2,USC,USA,PHX
320,2017-18,DeAndre Jordan,83.0,12.0,15.2,1.5,Texas A&M,USA,LAC
321,2018-19,DeAndre Jordan,83.0,11.0,13.1,2.3,Texas A&M,USA,NYK
322,2016-17,DeAndre Jordan,83.0,12.7,13.8,1.2,Texas A&M,USA,LAC
323,2017-18,DeAndre Liggins,78.0,1.7,1.3,0.8,Kentucky,USA,NOP
324,2016-17,DeAndre Liggins,78.0,2.5,1.7,0.9,Kentucky,USA,DAL
325,2018-19,DeAndre' Bembry,78.0,8.4,4.4,2.5,None,USA,ATL
326,2016-17,DeAndre' Bembry,78.0,2.7,1.6,0.7,Saint Joseph's,USA,ATL
327,2017-18,DeAndre' Bembry,78.0,5.2,2.8,1.9,None,USA,ATL
328,2016-17,DeMar DeRozan,79.0,27.3,5.2,3.9,Southern California,USA,TOR
329,2017-18,DeMar DeRozan,79.0,23.0,3.9,5.2,USC,USA,TOR
