,season,player_name,height (in),pts,reb,ast,college,country,team
1334,2017-18,Solomon Hill,79.0,2.4,3.0,1.8,Arizona,USA,NOP
1335,2018-19,Solomon Hill,79.0,4.3,3.0,1.3,Arizona,USA,NOP
1336,2016-17,Solomon Hill,79.0,7.0,3.8,1.8,Arizona,USA,NOP
1337,2018-19,Spencer Dinwiddie,78.0,16.8,2.4,4.6,Colorado,USA,BKN
1338,2017-18,Spencer Dinwiddie,78.0,12.6,3.2,6.6,Colorado,USA,BKN
1339,2016-17,Spencer Dinwiddie,78.0,7.3,2.8,3.1,Colorado,USA,BKN
1340,2016-17,Spencer Hawes,85.0,6.2,3.5,1.5,Washington,USA,MIL
1341,2017-18,Stanley Johnson,79.0,8.7,3.7,1.6,Arizona,USA,DET
1342,2016-17,Stanley Johnson,79.0,4.4,2.5,1.4,Arizona,USA,DET
1343,2018-19,Stanley Johnson,79.0,6.9,3.3,1.3,Arizona,USA,NOP
1344,2017-18,Stephen Curry,75.0,26.4,5.1,6.1,Davidson,USA,GSW
1345,2016-17,Stephen Curry,75.0,25.3,4.5,6.6,Davidson,USA,GSW
1346,2018-19,Stephen Curry,75.0,27.3,5.3,5.2,Davidson,USA,GSW
1347,2016-17,Stephen Zimmerman,84.0,1.2,1.8,0.2,Nevada-Las Vegas,USA,ORL
1348,2017-18,Sterling Brown,78.0,4.0,2.6,0.5,Southern Methodist,USA,MIL
1349,2018-19,Sterling Brown,78.0,6.4,3.2,1.4,Southern Methodist,USA,MIL
1350,2016-17,Steve Novak,82.0,0.6,0.4,0.0,Marquette,USA,MIL
1351,2018-19,Steven Adams,84.0,13.9,9.5,1.6,Pittsburgh,New Zealand,OKC
1352,2016-17,Steven Adams,84.0,11.3,7.7,1.1,Pittsburgh,New Zealand,OKC
1353,2017-18,Steven Adams,84.0,13.9,9.0,1.2,Pittsburgh,New Zealand,OKC
1354,2018-19,Svi Mykhailiuk,80.0,3.2,0.9,0.9,Kansas,Ukraine,DET
1355,2016-17,T.J. McConnell,74.0,6.9,3.1,6.6,Arizona,USA,PHI
1356,2017-18,T.J. McConnell,74.0,6.3,3.0,4.0,Arizona,USA,PHI
1357,2018-19,T.J. McConnell,74.0,6.4,2.3,3.4,Arizona,USA,PHI
1358,2017-18,T.J. Warren,80.0,19.6,5.1,1.3,North Carolina State,USA,PHX
1359,2018-19,T.J. Warren,80.0,18.0,4.0,1.5,North Carolina State,USA,PHX
1360,2017-18,TJ Leaf,82.0,2.9,1.5,0.2,UCLA,USA,IND
1361,2018-19,TJ Leaf,82.0,3.9,2.2,0.4,UCLA,USA,IND
1362,2016-17,TJ Warren,80.0,14.4,5.1,1.1,North Carolina State,USA,PHX
1363,2018-19,Tahjere McCall,77.0,4.0,1.0,0.0,Tennessee State,USA,BKN
1364,2017-18,Taj Gibson,81.0,12.2,7.1,1.2,USC,USA,MIN
1365,2016-17,Taj Gibson,81.0,10.8,6.2,0.9,Southern California,USA,OKC
1366,2018-19,Taj Gibson,81.0,10.8,6.5,1.2,USC,USA,MIN
1367,2016-17,Tarik Black,81.0,5.7,5.1,0.6,Kansas,USA,LAL
1368,2017-18,Tarik Black,81.0,3.5,3.2,0.3,Kansas,USA,HOU
1369,2018-19,Taurean Prince,80.0,13.5,3.6,2.1,Baylor,USA,ATL
1370,2017-18,Taurean Prince,80.0,14.1,4.7,2.6,Baylor,USA,ATL
1371,2016-17,Taurean Prince,80.0,5.7,2.7,0.9,Baylor,USA,ATL
1372,2017-18,Terrance Ferguson,79.0,3.1,0.8,0.3,None,USA,OKC
1373,2018-19,Terrance Ferguson,79.0,6.9,1.9,1.0,None,USA,OKC
1374,2016-17,Terrence Jones,81.0,10.8,5.7,1.1,Kentucky,USA,MIL
1375,2018-19,Terrence Jones,81.0,1.0,2.0,0.0,Kentucky,USA,HOU
1376,2016-17,Terrence Ross,79.0,11.0,2.6,1.1,Washington,USA,ORL
1377,2018-19,Terrence Ross,79.0,15.1,3.5,1.7,Washington,USA,ORL
1378,2017-18,Terrence Ross,79.0,8.7,3.0,1.6,Washington,USA,ORL
1379,2017-18,Terry Rozier,74.0,11.3,4.7,2.9,Louisville,USA,BOS
1380,2016-17,Terry Rozier,74.0,5.5,3.1,1.8,Louisville,USA,BOS
1381,2018-19,Terry Rozier,73.0,9.0,3.9,2.9,Louisville,USA,BOS
1382,2017-18,Thabo Sefolosha,79.0,8.2,4.2,0.9,None,Switzerland,UTA
1383,2018-19,Thabo Sefolosha,79.0,3.8,2.5,0.5,None,Switzerland,UTA
1384,2016-17,Thabo Sefolosha,79.0,7.2,4.4,1.7,None,Switzerland,ATL
1385,2016-17,Thaddeus Young,80.0,11.0,6.1,1.6,Georgia Tech,USA,IND
1386,2018-19,Thaddeus Young,80.0,12.6,6.5,2.5,Georgia Tech,USA,IND
1387,2017-18,Thaddeus Young,80.0,11.8,6.3,1.9,Georgia Tech,USA,IND
1388,2018-19,Theo Pinson,78.0,4.5,2.0,1.2,None,USA,BKN
1389,2018-19,Thomas Bryant,83.0,10.5,6.3,1.3,Indiana,USA,WAS
1390,2017-18,Thomas Bryant,82.0,1.5,1.1,0.4,Indiana,USA,LAL
1391,2016-17,Thomas Robinson,82.0,5.0,4.6,0.6,Kansas,USA,LAL
1392,2018-19,Thomas Welsh,84.0,1.6,0.4,0.5,UCLA,USA,DEN
1393,2016-17,Thon Maker,85.0,4.0,2.0,0.4,None,South Sudan,MIL
1394,2017-18,Thon Maker,85.0,4.8,3.0,0.6,None,South Sudan,MIL
1395,2018-19,Thon Maker,85.0,5.0,3.2,0.7,None,South Sudan,DET
1396,2016-17,Tiago Splitter,83.0,4.9,2.8,0.5,None,Brazil,PHI
1397,2016-17,Tim Frazier,73.0,7.1,2.7,5.2,None,USA,NOP
1398,2018-19,Tim Frazier,73.0,5.3,2.8,4.2,None,USA,MIL
1399,2017-18,Tim Frazier,73.0,3.0,1.9,3.3,None,USA,WAS
1400,2016-17,Tim Hardaway Jr.,78.0,14.5,2.8,2.3,Michigan,USA,ATL
1401,2017-18,Tim Hardaway Jr.,78.0,17.5,3.9,2.7,Michigan,USA,NYK
1402,2018-19,Tim Hardaway Jr.,78.0,18.1,3.4,2.4,Michigan,USA,DAL
1403,2017-18,Tim Quarterman,78.0,1.3,1.0,0.3,Louisiana State,USA,HOU
1404,2016-17,Tim Quarterman,78.0,1.9,0.9,0.7,Louisiana State,USA,POR
1405,2016-17,Timofey Mozgov,85.0,7.4,4.9,0.8,None,Russia,LAL
1406,2017-18,Timofey Mozgov,85.0,4.2,3.2,0.4,None,Russia,BKN
1407,2018-19,Timothe Luwawu-Cabarrot,78.0,4.6,1.9,0.5,None,France,CHI
1408,2017-18,Timothe Luwawu-Cabarrot,78.0,5.8,1.4,1.0,None,France,PHI
1409,2016-17,Timothe Luwawu-Cabarrot,78.0,6.4,2.2,1.1,None,France,PHI
1410,2018-19,Tobias Harris,81.0,20.0,7.9,2.8,Tennessee,USA,PHI
1411,2017-18,Tobias Harris,81.0,18.6,5.5,2.4,Tennessee,USA,LAC
1412,2016-17,Tobias Harris,81.0,16.1,5.1,1.7,Tennessee,USA,DET
1413,2017-18,Tomas Satoransky,79.0,7.2,3.2,3.9,None,Czech Republic,WAS
1414,2018-19,Tomas Satoransky,79.0,8.9,3.5,5.0,None,Czech Republic,WAS
1415,2016-17,Tomas Satoransky,79.0,2.7,1.5,1.6,None,Czech Republic,WAS
1416,2016-17,Toney Douglas,74.0,4.9,2.5,2.3,Florida State,USA,MEM
1417,2016-17,Tony Allen,76.0,9.1,5.5,1.4,Oklahoma State,USA,MEM
1418,2017-18,Tony Allen,76.0,4.7,2.1,0.4,Oklahoma State,USA,NOP
1419,2017-18,Tony Bradley,82.0,0.9,1.2,0.1,North Carolina,USA,UTA
1420,2018-19,Tony Bradley,82.0,5.7,5.0,0.3,North Carolina,USA,UTA
1421,2017-18,Tony Parker,74.0,7.7,1.7,3.5,None,France,SAS
1422,2016-17,Tony Parker,74.0,10.1,1.8,4.5,None,France,SAS
1423,2018-19,Tony Parker,74.0,9.5,1.5,3.7,None,France,CHA
1424,2017-18,Tony Snell,79.0,6.9,1.9,1.3, ,USA,MIL
1425,2018-19,Tony Snell,79.0,6.0,2.1,0.9, ,USA,MIL
1426,2016-17,Tony Snell,79.0,8.5,3.1,1.2,New Mexico,USA,MIL
1427,2017-18,Torrey Craig,78.0,4.2,3.3,0.6,South Carolina Upstate,USA,DEN
1428,2018-19,Torrey Craig,79.0,5.7,3.5,1.0,South Carolina Upstate,USA,DEN
1429,2018-19,Trae Young,74.0,19.1,3.7,8.1,Oklahoma,USA,ATL
1430,2017-18,Travis Wear,82.0,4.4,2.2,0.4,UCLA,USA,LAL
1431,2016-17,Treveon Graham,78.0,2.1,0.8,0.2,Virginia Commonwealth,USA,CHA
1432,2017-18,Treveon Graham,77.0,4.3,1.9,0.9,Va Commonwealth,USA,CHA
1433,2018-19,Treveon Graham,77.0,5.3,3.1,1.0,Va Commonwealth,USA,BKN
1434,2018-19,Trevon Duval,74.0,1.7,0.3,0.7,None,USA,HOU
1435,2018-19,Trevor Ariza,80.0,12.5,5.4,3.7,UCLA,USA,WAS
1436,2016-17,Trevor Ariza,80.0,11.7,5.7,2.2,UCLA,USA,HOU
1437,2017-18,Trevor Ariza,80.0,11.7,4.4,1.6,UCLA,USA,HOU
1438,2017-18,Trevor Booker,80.0,6.3,4.7,1.2,Clemson,USA,IND
1439,2016-17,Trevor Booker,80.0,10.0,8.0,1.9,Clemson,USA,BKN
1440,2016-17,Trey Burke,73.0,5.0,0.8,1.8,Michigan,USA,WAS
1441,2018-19,Trey Burke,73.0,10.9,1.7,2.7,Michigan,USA,DAL
1442,2017-18,Trey Burke,73.0,12.8,2.0,4.7,Michigan,USA,NYK
1443,2016-17,Trey Lyles,82.0,6.2,3.3,1.0,Kentucky,USA,UTA
1444,2018-19,Trey Lyles,82.0,8.5,3.8,1.4,Kentucky,USA,DEN
1445,2017-18,Trey Lyles,82.0,9.9,4.8,1.2,Kentucky,USA,DEN
1446,2017-18,Trey McKinney-Jones,77.0,0.0,0.0,0.0,Miami (FL),USA,IND
1447,2016-17,Tristan Thompson,81.0,8.1,9.2,1.0,Texas,Canada,CLE
1448,2018-19,Tristan Thompson,82.0,10.9,10.2,2.0,Texas,Canada,CLE
1449,2017-18,Tristan Thompson,81.0,5.8,6.6,0.6,Texas,Canada,CLE
1450,2018-19,Troy Brown Jr.,79.0,4.8,2.8,1.5,Oregon,USA,WAS
1451,2018-19,Troy Caupain,76.0,2.5,0.8,1.0,Cincinnati,USA,ORL
1452,2016-17,Troy Daniels,76.0,8.2,1.5,0.7,Virginia Commonwealth,USA,MEM
1453,2017-18,Troy Daniels,76.0,8.9,1.6,0.6,Va Commonwealth,USA,PHX
1454,2018-19,Troy Daniels,76.0,6.2,1.4,0.5,Va Commonwealth,USA,PHX
1455,2018-19,Troy Williams,79.0,5.3,2.8,0.5,Indiana,USA,SAC
1456,2016-17,Troy Williams,79.0,6.2,2.3,0.8,Indiana,USA,HOU
1457,2017-18,Troy Williams,79.0,6.3,3.0,0.8,Indiana,USA,NYK
1458,2016-17,Ty Lawson,71.0,9.9,2.6,4.8,North Carolina,USA,SAC
1459,2018-19,Tyler Cavanaugh,81.0,0.8,0.7,0.1,George Washington,USA,UTA
1460,2017-18,Tyler Cavanaugh,81.0,4.7,3.3,0.7,George Washington,USA,ATL
1461,2018-19,Tyler Davis,82.0,0.0,1.0,0.0,None,USA,OKC
1462,2017-18,Tyler Dorsey,77.0,7.2,2.3,1.4,Oregon,USA,ATL
1463,2018-19,Tyler Dorsey,77.0,6.2,2.4,1.2,Oregon,USA,MEM
1464,2017-18,Tyler Ennis,75.0,4.1,1.8,1.9,Syracuse,Canada,LAL
1465,2016-17,Tyler Ennis,75.0,4.3,0.8,1.6,Syracuse,Canada,LAL
1466,2017-18,Tyler Johnson,76.0,11.7,3.4,2.3,Fresno State,USA,MIA
1467,2016-17,Tyler Johnson,76.0,13.7,4.0,3.2,Fresno State,USA,MIA
1468,2018-19,Tyler Johnson,76.0,10.9,3.0,2.9,Fresno State,USA,PHX
1469,2018-19,Tyler Lydon,82.0,0.9,0.7,0.2,Syracuse,USA,DEN
1470,2017-18,Tyler Lydon,81.0,0.0,0.0,0.0,Syracuse,USA,DEN
1471,2016-17,Tyler Ulis,70.0,7.3,1.6,3.7,Kentucky,USA,PHX
1472,2018-19,Tyler Ulis,70.0,0.0,0.0,0.0,Kentucky,USA,CHI
1473,2017-18,Tyler Ulis,70.0,7.8,1.8,4.4,Kentucky,USA,PHX
1474,2016-17,Tyler Zeller,84.0,3.5,2.4,0.8,North Carolina,USA,BOS
